,county,endothall
0,"-, Arizona",0.0
1,"Acadia, Louisiana",0.0
2,"Ada, Idaho",0.0
3,"Adair, Kentucky",0.0
4,"Adams, Idaho",0.0
5,"Adams, Illinois",0.0
6,"Adams, Indiana",0.0
7,"Adams, Ohio",0.0
8,"Adams, Pennsylvania",0.0
9,"Adams, Wisconsin",0.0
10,"Alachua, Florida",0.0
11,"Alameda, California",0.0
12,"Alexander, Illinois",0.0
13,"Allegany, New York",0.0
14,"Allegheny county, Pennsylvania",0.0
15,"Allegheny, Pennsylvania",0.0
16,"Allen, Indiana",0.0
17,"Allen, Kentucky",0.0
18,"Allen, Louisiana",0.0
19,"Alpena, Michigan",0.0
20,"Alpine, California",0.0
21,"American samoa, American Samoa",0.0
22,"Amherst, Virginia",0.0
23,"Anderson, Kentucky",0.0
24,"Anne arundel, Maryland",0.0
25,"Apache, Arizona",0.0
26,"Arkansas, Arkansas",0.0
27,"Armstrong county, Pennsylvania",0.0
28,"Armstrong, Pennsylvania",0.0
29,"Aroostook, Maine",0.0
30,"Ascension, Louisiana",0.0
31,"Ashland, Wisconsin",0.0
32,"Ashley, Arkansas",0.0
33,"Asotin, Washington",0.0
34,"Assumption, Louisiana",0.0
35,"Audrain, Missouri",0.0
36,"Aurora, South Dakota",0.0
37,"Autauga, Alabama",0.0
38,"Avoyelles, Louisiana",0.0
39,"Baker county, Florida",0.0
40,"Baker, Florida",0.0
41,"Baker, Oregon",0.0
42,"Baldwin, Alabama",0.025733333333333334
43,"Ballard, Kentucky",0.0
44,"Bannock, Idaho",0.0
45,"Baraga, Michigan",0.0
46,"Barbour, Alabama",0.0
47,"Barren, Kentucky",0.0
48,"Barron, Wisconsin",0.0
49,"Barry, Missouri",0.0
50,"Bartholomew, Indiana",0.0
51,"Baxter, Arkansas",0.0
52,"Bay, Florida",0.0
53,"Bay, Michigan",0.0
54,"Bayfield, Wisconsin",0.0
55,"Beadle, South Dakota",0.0
56,"Bear lake, Idaho",0.0
57,"Beauregard, Louisiana",0.0
58,"Beaver county, Pennsylvania",0.0
59,"Beaver, Pennsylvania",0.0
60,"Bedford, Pennsylvania",0.0
61,"Bedford, Virginia",0.0
62,"Bell, Kentucky",0.0
63,"Belmont, Ohio",0.0
64,"Beltrami county, Minnesota",0.0
65,"Benewah, Idaho",0.0
66,"Bennett, South Dakota",0.0
67,"Benton county, Arkansas",0.0
68,"Benton, Arkansas",0.0
69,"Benton, Indiana",0.0
70,"Benton, Missouri",0.0
71,"Benton, Oregon",0.0
72,"Benton, Washington",0.0
73,"Berkeley, West Virginia",0.0
74,"Berks county, Pennsylvania",0.0
75,"Berks, Pennsylvania",0.0
76,"Bernalillo, New Mexico",0.0
77,"Bibb, Alabama",0.0
78,"Bienville, Louisiana",0.0
79,"Bingham, Idaho",0.9
80,"Blackford, Indiana",0.0
81,"Blaine, Idaho",0.0
82,"Blaine, Montana",0.0
83,"Blair, Pennsylvania",0.0
84,"Blount, Alabama",0.0
85,"Boise, Idaho",0.0
86,"Bon homme, South Dakota",0.0
87,"Bond, Illinois",0.0
88,"Bonner, Idaho",0.0
89,"Bonneville, Idaho",0.0
90,"Boone, Arkansas",0.0
91,"Boone, Illinois",0.0
92,"Boone, Indiana",0.0
93,"Boone, Kentucky",0.6
94,"Bossier, Louisiana",0.0
95,"Boundary, Idaho",0.0
96,"Bourbon, Kentucky",0.0
97,"Boyd, Kentucky",0.0
98,"Boyle, Kentucky",0.0
99,"Bracken, Kentucky",0.0
100,"Bradford, Florida",0.0
101,"Bradford, Pennsylvania",0.0
102,"Bradley, Arkansas",0.0
103,"Braxton, West Virginia",0.0
104,"Breathitt, Kentucky",0.0
105,"Breckinridge, Kentucky",0.0
106,"Brevard, Florida",0.0
107,"Brookings, South Dakota",0.0
108,"Broward county, Florida",0.0
109,"Broward, Florida",0.0
110,"Brown, Illinois",0.0
111,"Brown, Indiana",0.0
112,"Brown, Ohio",0.0
113,"Brown, South Dakota",0.0
114,"Brown, Wisconsin",0.0
115,"Brule, South Dakota",0.0
116,"Bucks county, Pennsylvania",0.0
117,"Bucks, Pennsylvania",0.0
118,"Buffalo, Nebraska",0.0
119,"Buffalo, Wisconsin",0.0
120,"Bullock, Alabama",0.0
121,"Bureau, Illinois",0.0
122,"Burnett, Wisconsin",0.0
123,"Butler, Alabama",0.0
124,"Butler, Kentucky",0.0
125,"Butler, Ohio",0.0
126,"Butler, Pennsylvania",0.0
127,"Butte, California",0.0
128,"Butte, Idaho",0.0
129,"Butte, South Dakota",0.0
130,"Caddo parish, Louisiana",0.0
131,"Caddo, Louisiana",0.0
132,"Calaveras, California",0.0
133,"Calcasieu, Louisiana",0.0
134,"Caldwell, Kentucky",0.0
135,"Caldwell, Louisiana",0.0
136,"Calhoun, Alabama",0.0
137,"Calhoun, Arkansas",0.0
138,"Calhoun, Florida",0.0
139,"Calhoun, Illinois",0.0
140,"Calloway, Kentucky",0.0
141,"Calumet, Wisconsin",0.0
142,"Cambria county, Pennsylvania",0.0
143,"Cambria, Pennsylvania",0.0
144,"Cameron, Louisiana",0.0
145,"Cameron, Pennsylvania",0.0
146,"Campbell, Kentucky",0.0
147,"Canyon, Idaho",0.20604395604395603
148,"Carbon, Pennsylvania",0.0
149,"Caribou, Idaho",0.0
150,"Carlisle, Kentucky",0.0
151,"Carroll, Arkansas",0.0
152,"Carroll, Illinois",0.0
153,"Carroll, Indiana",0.0
154,"Carroll, Kentucky",0.0
155,"Carroll, Maryland",0.0
156,"Carson city, Nevada",0.0
157,"Carter, Kentucky",0.0
158,"Casey, Kentucky",0.0
159,"Cass, Illinois",0.0
160,"Cass, Indiana",0.0
161,"Cass, Minnesota",0.0
162,"Cass, Nebraska",0.0
163,"Cass, North Dakota",0.0
164,"Cassia, Idaho",0.0
165,"Catahoula, Louisiana",0.0
166,"Catron, New Mexico",0.0
167,"Cecil, Maryland",0.0
168,"Cedar, Nebraska",0.0
169,"Centre county, Pennsylvania",0.0
170,"Centre, Pennsylvania",0.0
171,"Chambers, Alabama",0.0
172,"Champaign, Illinois",0.0
173,"Champaign, Ohio",0.0
174,"Chariton, Missouri",0.0
175,"Charles mix, South Dakota",0.0
176,"Charlotte, Florida",0.0
177,"Chaves, New Mexico",0.0
178,"Chemung, New York",0.0
179,"Cherokee, Alabama",0.0
180,"Cheshire, New Hampshire",0.0
181,"Chester county, Pennsylvania",0.0
182,"Chester, Pennsylvania",0.0
183,"Chicot, Arkansas",0.0
184,"Chilton, Alabama",0.0
185,"Chippewa, Michigan",0.0
186,"Chippewa, Wisconsin",0.0
187,"Choctaw, Alabama",0.0
188,"Christian, Illinois",0.0
189,"Christian, Kentucky",0.0
190,"Churchill, Nevada",0.0
191,"Cibola, New Mexico",0.0
192,"Citrus county, Florida",0.0
193,"Citrus, Florida",0.0
194,"Clackamas, Oregon",0.0
195,"Claiborne, Louisiana",0.0
196,"Clarion, Pennsylvania",0.0
197,"Clark county, Nevada",0.0
198,"Clark, Arkansas",0.0
199,"Clark, Illinois",0.0
200,"Clark, Indiana",0.0
201,"Clark, Kentucky",0.0
202,"Clark, Nevada",0.0
203,"Clark, Ohio",0.0
204,"Clark, South Dakota",0.0
205,"Clark, Washington",0.0
206,"Clark, Wisconsin",0.0
207,"Clarke, Alabama",0.0
208,"Clatsop, Oregon",0.0
209,"Clay, Alabama",0.0
210,"Clay, Arkansas",0.0
211,"Clay, Florida",0.0
212,"Clay, Illinois",0.0
213,"Clay, Indiana",0.0
214,"Clay, Kentucky",0.0
215,"Clay, South Dakota",0.0
216,"Clearfield county, Pennsylvania",0.0
217,"Clearfield, Pennsylvania",0.0
218,"Clearwater, Idaho",0.0
219,"Cleburne, Alabama",0.0
220,"Cleburne, Arkansas",0.0
221,"Clermont, Ohio",0.0
222,"Cleveland, Arkansas",0.0
223,"Clinton, Illinois",0.0
224,"Clinton, Indiana",0.0
225,"Clinton, Iowa",0.0
226,"Clinton, Kentucky",0.0
227,"Clinton, Pennsylvania",0.0
228,"Cochise, Arizona",0.0
229,"Coconino, Arizona",0.075
230,"Codington, South Dakota",0.0
231,"Coffee, Alabama",0.0
232,"Colbert, Alabama",0.0
233,"Cole, Missouri",0.0
234,"Coles, Illinois",0.0
235,"Colfax, New Mexico",0.0
236,"Collier, Florida",0.0
237,"Columbia, Arkansas",0.0
238,"Columbia, Florida",0.0
239,"Columbia, Oregon",0.0
240,"Columbia, Pennsylvania",0.0
241,"Columbia, Wisconsin",0.0
242,"Columbiana, Ohio",0.0
243,"Colusa, California",0.0
244,"Concordia, Louisiana",0.0
245,"Conecuh, Alabama",0.0
246,"Contra costa, California",0.0
247,"Conway, Arkansas",0.0
248,"Cook, Illinois",0.0
249,"Cook, Minnesota",0.0
250,"Coos, Oregon",0.0
251,"Coosa, Alabama",0.0
252,"Coshocton, Ohio",0.0
253,"Covington, Alabama",0.0
254,"Cowlitz, Washington",0.0
255,"Craighead, Arkansas",0.0
256,"Crawford county, Pennsylvania",0.0
257,"Crawford, Arkansas",0.0
258,"Crawford, Illinois",0.0
259,"Crawford, Indiana",0.0
260,"Crawford, Pennsylvania",0.0
261,"Crawford, Wisconsin",0.0
262,"Crenshaw, Alabama",0.0
263,"Crittenden, Arkansas",0.0
264,"Crittenden, Kentucky",0.0
265,"Crook, Oregon",0.0
266,"Crook, Wyoming",0.0
267,"Cross, Arkansas",0.0
268,"Cullman, Alabama",0.0
269,"Cumberland county, Pennsylvania",0.0
270,"Cumberland, Illinois",0.0
271,"Cumberland, Kentucky",0.0
272,"Cumberland, Pennsylvania",0.0
273,"Curry, New Mexico",0.0
274,"Curry, Oregon",0.0
275,"Custer, Idaho",0.0
276,"Custer, South Dakota",0.0
277,"Cuyahoga, Ohio",0.0
278,"Dade, Florida",0.0
279,"Dale, Alabama",0.0
280,"Dallas, Alabama",0.0
281,"Dallas, Arkansas",0.0
282,"Dane, Wisconsin",0.0
283,"Dauphin county, Pennsylvania",0.0
284,"Dauphin, Pennsylvania",0.0
285,"Daviess, Indiana",0.0
286,"Daviess, Kentucky",0.0
287,"Dawes, Nebraska",0.0
288,"Day, South Dakota",0.0
289,"De baca, New Mexico",0.0
290,"De kalb, Indiana",0.0
291,"De soto, Florida",0.0
292,"De soto, Louisiana",0.0
293,"De witt, Illinois",0.0
294,"Dearborn, Indiana",0.0
295,"Decatur, Indiana",0.0
296,"Defiance, Ohio",0.0
297,"Dekalb, Alabama",0.0
298,"Dekalb, Illinois",0.0
299,"Dekalb, Indiana",0.0
300,"Delaware, Indiana",0.0
301,"Delaware, Ohio",0.0
302,"Delaware, Pennsylvania",0.0
303,"Deschutes, Oregon",0.0
304,"Desha, Arkansas",0.0
305,"Desoto, Florida",0.0
306,"Dewey, South Dakota",0.0
307,"Dickey, North Dakota",0.0
308,"District of columbia, District of Columbia",0.0
309,"Dixie, Florida",0.0
310,"Dodge, Wisconsin",0.0
311,"Dona ana, New Mexico",0.7013574660633484
312,"Door, Wisconsin",0.0
313,"Douglas, Illinois",0.0
314,"Douglas, Nebraska",0.0
315,"Douglas, Nevada",0.0
316,"Douglas, Oregon",0.0
317,"Douglas, Wisconsin",0.0
318,"Drew, Arkansas",0.0
319,"Du page, Illinois",0.0
320,"Dubois, Indiana",0.0
321,"Dunn, Wisconsin",0.0
322,"Dupage, Illinois",0.0
323,"Duval county, Florida",0.0
324,"Duval, Florida",0.0
325,"East baton rouge parish, Louisiana",0.0
326,"East baton rouge, Louisiana",0.0
327,"East carroll, Louisiana",0.0
328,"East feliciana, Louisiana",0.0
329,"Eau claire, Wisconsin",0.0
330,"Eddy, New Mexico",0.0
331,"Edgar, Illinois",0.0
332,"Edmonson, Kentucky",0.0
333,"Edwards, Illinois",0.0
334,"Effingham, Illinois",0.0
335,"El dorado, California",0.0
336,"Elk, Pennsylvania",0.0
337,"Elkhart, Indiana",0.0
338,"Elko, Nevada",0.0
339,"Elliott, Kentucky",0.0
340,"Elmore, Alabama",0.0
341,"Elmore, Idaho",0.0
342,"Erie county, Pennsylvania",0.0
343,"Erie, New York",0.0
344,"Erie, Ohio",0.0
345,"Erie, Pennsylvania",0.0
346,"Escambia, Alabama",0.0
347,"Escambia, Florida",0.0
348,"Esmeralda, Nevada",0.0
349,"Essex, Massachusetts",0.0
350,"Estill, Kentucky",0.0
351,"Etowah, Alabama",0.0
352,"Eureka county, Nevada",0.0
353,"Eureka, Nevada",0.0
354,"Evangeline parish, Louisiana",0.0
355,"Evangeline, Louisiana",0.0
356,"Fairbanks north star, Alaska",0.0
357,"Fairfield, Ohio",0.0
358,"Fall river, South Dakota",0.0
359,"Faulk, South Dakota",0.0
360,"Fayette, Alabama",0.0
361,"Fayette, Illinois",0.0
362,"Fayette, Indiana",0.0
363,"Fayette, Kentucky",0.0
364,"Fayette, Pennsylvania",0.0
365,"Fayette, West Virginia",0.0
366,"Flagler, Florida",0.0
367,"Fleming, Kentucky",0.0
368,"Florence, Wisconsin",0.0
369,"Floyd, Indiana",0.0
370,"Floyd, Kentucky",0.0
371,"Fond du lac, Wisconsin",0.0
372,"Ford, Illinois",0.0
373,"Forest, Pennsylvania",0.0
374,"Forest, Wisconsin",0.0
375,"Fountain, Indiana",0.0
376,"Franklin county, Pennsylvania",0.0
377,"Franklin, Alabama",0.0
378,"Franklin, Arkansas",0.0
379,"Franklin, Florida",0.0
380,"Franklin, Idaho",0.0
381,"Franklin, Illinois",0.0
382,"Franklin, Indiana",0.0
383,"Franklin, Kentucky",0.0
384,"Franklin, Louisiana",0.0
385,"Franklin, Ohio",0.0
386,"Franklin, Pennsylvania",0.0
387,"Frederick, Maryland",0.0
388,"Fremont, Idaho",0.0
389,"Fremont, Wyoming",0.0
390,"Fresno, California",0.0
391,"Fulton, Arkansas",0.0
392,"Fulton, Illinois",0.0
393,"Fulton, Indiana",0.0
394,"Fulton, Kentucky",0.0
395,"Fulton, Ohio",0.0
396,"Fulton, Pennsylvania",0.0
397,"Gadsden, Florida",0.0
398,"Gallatin, Illinois",0.0
399,"Gallatin, Kentucky",0.0
400,"Gallatin, Montana",0.0
401,"Garland, Arkansas",0.0
402,"Garrard, Kentucky",0.0
403,"Geauga, Ohio",0.0
404,"Gem, Idaho",0.0
405,"Genesee, New York",0.0
406,"Geneva, Alabama",0.0
407,"Gibson, Indiana",0.0
408,"Gila, Arizona",0.0
409,"Gilchrist, Florida",0.0
410,"Giles, Tennessee",0.0
411,"Giles, Virginia",0.0
412,"Gilliam, Oregon",0.0
413,"Glacier, Montana",0.0
414,"Glades, Florida",0.0
415,"Gogebic, Michigan",0.0
416,"Goodhue, Minnesota",0.0
417,"Gooding, Idaho",0.0
418,"Graham county, Arizona",0.0
419,"Graham, Arizona",0.0
420,"Grant, Arkansas",0.0
421,"Grant, Indiana",0.0
422,"Grant, Kentucky",0.0
423,"Grant, Louisiana",0.0
424,"Grant, New Mexico",0.0
425,"Grant, North Dakota",0.0
426,"Grant, Oregon",0.0
427,"Grant, South Dakota",0.0
428,"Grant, Washington",0.0
429,"Grant, Wisconsin",0.0
430,"Gratiot, Michigan",0.0
431,"Graves, Kentucky",0.0
432,"Grayson, Kentucky",0.0
433,"Green lake, Wisconsin",0.0
434,"Green, Kentucky",0.0
435,"Green, Wisconsin",0.0
436,"Greene, Alabama",0.0
437,"Greene, Arkansas",0.0
438,"Greene, Illinois",0.0
439,"Greene, Indiana",0.0
440,"Greene, Missouri",0.0
441,"Greene, Ohio",0.0
442,"Greene, Pennsylvania",0.0
443,"Greenlee, Arizona",0.0
444,"Greenup, Kentucky",0.0
445,"Gregory, South Dakota",0.0
446,"Grundy, Illinois",0.0
447,"Guadalupe, New Mexico",0.0
448,"Gulf, Florida",0.0
449,"Hale, Alabama",0.0
450,"Hamilton, Florida",0.0
451,"Hamilton, Indiana",0.0
452,"Hamilton, Ohio",0.0
453,"Hamilton, Tennessee",0.0
454,"Hamlin, South Dakota",0.0
455,"Hancock, Illinois",0.0
456,"Hancock, Indiana",0.0
457,"Hancock, Kentucky",0.0
458,"Hardee, Florida",0.0
459,"Hardin, Illinois",0.0
460,"Hardin, Kentucky",0.0
461,"Harding, New Mexico",0.0
462,"Harford, Maryland",0.0
463,"Harlan, Kentucky",0.0
464,"Harney, Oregon",0.0
465,"Harrison, Indiana",0.0
466,"Harrison, Kentucky",0.0
467,"Hart, Kentucky",0.0
468,"Hartford, Connecticut",0.0
469,"Hawaii, Hawaii",0.0
470,"Hawkins, Tennessee",0.0
471,"Hempstead, Arkansas",0.0
472,"Henderson, Illinois",0.0
473,"Henderson, Kentucky",0.0
474,"Hendricks, Indiana",0.0
475,"Hendry, Florida",0.0
476,"Henry, Alabama",0.0
477,"Henry, Illinois",0.0
478,"Henry, Indiana",0.0
479,"Henry, Kentucky",0.0
480,"Henry, Ohio",0.0
481,"Herkimer, New York",0.0
482,"Hernando, Florida",0.0
483,"Hickman, Kentucky",0.0
484,"Hidalgo, New Mexico",0.0
485,"Highland, Ohio",0.0
486,"Highlands, Florida",0.0
487,"Hills, Florida",0.007341772151898734
488,"Hills, New Hampshire",0.0
489,"Hillsborough county, Florida",0.0
490,"Hillsborough, Florida",0.0
491,"Hitchcock, Nebraska",0.0
492,"Hocking, Ohio",0.0
493,"Holmes, Florida",0.0
494,"Holmes, Ohio",0.0
495,"Honolulu, Hawaii",0.0
496,"Hood river, Oregon",0.0
497,"Hopewell, Virginia",0.0
498,"Hopkins, Kentucky",0.0
499,"Hot spring, Arkansas",0.0
500,"Houston, Alabama",0.0
501,"Howard, Arkansas",0.0
502,"Howard, Indiana",0.0
503,"Hughes, South Dakota",0.0
504,"Humboldt, Nevada",0.0
505,"Huntingdon, Pennsylvania",0.0
506,"Huntington, Indiana",0.0
507,"Huron, Ohio",0.0
508,"Iberia parish, Louisiana",0.0
509,"Iberia, Louisiana",0.0
510,"Iberville, Louisiana",0.0
511,"Idaho, Idaho",0.0
512,"Imperial, California",0.0
513,"Independence, Arkansas",0.0
514,"Indian river, Florida",0.0
515,"Indiana, Pennsylvania",0.0
516,"Inyo, California",0.0
517,"Iowa, Wisconsin",0.0
518,"Iron, Wisconsin",0.0
519,"Iroquois, Illinois",0.0
520,"Isabella, Michigan",0.0
521,"Izard, Arkansas",0.0
522,"Jackson county, Florida",0.0
523,"Jackson, Alabama",0.0
524,"Jackson, Arkansas",0.0
525,"Jackson, Florida",0.0
526,"Jackson, Illinois",0.0
527,"Jackson, Indiana",0.0
528,"Jackson, Kentucky",0.0
529,"Jackson, Louisiana",0.0
530,"Jackson, Oregon",0.0
531,"Jackson, Wisconsin",0.0
532,"Jasper, Illinois",0.0
533,"Jasper, Indiana",0.0
534,"Jasper, Missouri",0.0
535,"Jay, Indiana",0.0
536,"Jefferson county, Florida",0.0
537,"Jefferson county, Pennsylvania",0.0
538,"Jefferson davis, Louisiana",0.0
539,"Jefferson, Alabama",0.0
540,"Jefferson, Arkansas",0.0
541,"Jefferson, Florida",0.0
542,"Jefferson, Idaho",0.0
543,"Jefferson, Indiana",0.0
544,"Jefferson, Kentucky",0.0
545,"Jefferson, Louisiana",0.0
546,"Jefferson, Nebraska",0.0
547,"Jefferson, New York",0.0
548,"Jefferson, Oregon",0.0
549,"Jefferson, Pennsylvania",0.0
550,"Jefferson, West Virginia",0.0
551,"Jefferson, Wisconsin",0.0
552,"Jennings, Indiana",0.0
553,"Jerome, Idaho",0.0
554,"Jersey, Illinois",0.0
555,"Jessamine, Kentucky",0.0
556,"Jo daviess, Illinois",0.0
557,"Johnson, Arkansas",0.0
558,"Johnson, Illinois",0.0
559,"Johnson, Indiana",0.0
560,"Johnson, Kansas",0.0
561,"Johnson, Kentucky",0.0
562,"Johnson, Missouri",0.0
563,"Josephine, Oregon",0.0
564,"Juneau city and, Alaska",0.0
565,"Juneau, Wisconsin",0.0
566,"Juniata, Pennsylvania",0.0
567,"Kanawha, West Virginia",0.0
568,"Kane, Illinois",0.0
569,"Kankakee, Illinois",0.0
570,"Kauai, Hawaii",0.0
571,"Kendall, Illinois",0.0
572,"Kenosha, Wisconsin",0.0
573,"Kenton, Kentucky",0.0
574,"Kern, California",0.3248730964467005
575,"Ketchikan gateway, Alaska",0.0
576,"Kewaunee, Wisconsin",0.0
577,"King, Washington",0.0
578,"Kings, California",0.0
579,"Kingsbury, South Dakota",0.0
580,"Klamath, Oregon",0.0
581,"Knott, Kentucky",0.0
582,"Knox, Illinois",0.0
583,"Knox, Indiana",0.0
584,"Knox, Kentucky",0.0
585,"Knox, Ohio",0.0
586,"Knox, Tennessee",0.0
587,"Koochiching county, Minnesota",0.0
588,"Kootenai, Idaho",0.0
589,"Kosciusko, Indiana",0.0
590,"La crosse, Wisconsin",0.0
591,"La grange, Indiana",0.0
592,"La paz, Arizona",0.0
593,"La plata, Colorado",0.0
594,"La porte, Indiana",0.0
595,"La salle, Illinois",0.0
596,"La salle, Louisiana",0.0
597,"Lackawanna, Pennsylvania",0.0
598,"Lafayette parish, Louisiana",0.0
599,"Lafayette, Arkansas",0.0
600,"Lafayette, Florida",0.0
601,"Lafayette, Louisiana",0.0
602,"Lafayette, Wisconsin",0.0
603,"Lafourche, Louisiana",0.0
604,"Lagrange, Indiana",0.0
605,"Lake, California",0.0
606,"Lake, Florida",0.11527777777777778
607,"Lake, Illinois",0.0
608,"Lake, Indiana",0.0
609,"Lake, Montana",0.0
610,"Lake, Oregon",0.0
611,"Lake, South Dakota",0.0
612,"Lamar, Alabama",0.0
613,"Lamoure, North Dakota",0.0
614,"Lancaster county, Pennsylvania",0.0
615,"Lancaster, Nebraska",0.0
616,"Lancaster, Pennsylvania",0.0
617,"Lander, Nevada",0.0
618,"Lane, Oregon",0.0
619,"Langlade, Wisconsin",0.0
620,"Laporte, Indiana",0.0
621,"Laramie, Wyoming",0.0
622,"Larue, Kentucky",0.0
623,"Lasalle, Illinois",0.0
624,"Latah, Idaho",0.0
625,"Lauderdale, Alabama",0.0
626,"Laurel, Kentucky",0.0
627,"Lawrence county, Arkansas",0.0
628,"Lawrence, Alabama",0.0
629,"Lawrence, Arkansas",0.0
630,"Lawrence, Illinois",0.0
631,"Lawrence, Indiana",0.0
632,"Lawrence, Kentucky",0.0
633,"Lawrence, Ohio",0.0
634,"Lawrence, Pennsylvania",0.0
635,"Lawrence, South Dakota",0.0
636,"Lea, New Mexico",0.0
637,"Lebanon county, Pennsylvania",0.0
638,"Lebanon, Pennsylvania",0.0
639,"Lee, Alabama",0.0
640,"Lee, Arkansas",0.0
641,"Lee, Florida",0.0
642,"Lee, Illinois",0.0
643,"Lee, Kentucky",0.0
644,"Leelanau, Michigan",0.0
