,county,glyphosate
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Ada, Idaho",0.0
4,"Adair, Kentucky",0.0
5,"Adair, Oklahoma",0.0
6,"Adams, Idaho",0.0
7,"Adams, Illinois",0.0
8,"Adams, Indiana",0.0
9,"Adams, Nebraska",0.0
10,"Adams, Ohio",0.0
11,"Adams, Pennsylvania",0.0
12,"Adams, Wisconsin",0.0
13,"Aiken, South Carolina",0.0
14,"Aitkin, Minnesota",0.0
15,"Alachua, Florida",0.0
16,"Alameda, California",0.0
17,"Alfalfa, Oklahoma",0.0
18,"Allegany, New York",0.0
19,"Allegheny county, Pennsylvania",0.0
20,"Allegheny, Pennsylvania",0.0
21,"Allen, Indiana",0.0
22,"Allen, Kentucky",0.0
23,"Allen, Louisiana",0.0
24,"Allendale, South Carolina",0.0
25,"Alpena, Michigan",0.0
26,"Alpine, California",0.0
27,"American samoa, American Samoa",0.0
28,"Amherst, Virginia",0.0
29,"Anderson, Kentucky",0.0
30,"Anderson, South Carolina",0.0
31,"Anne arundel, Maryland",0.0
32,"Anoka, Minnesota",0.0
33,"Antelope, Nebraska",0.0
34,"Apache, Arizona",0.0
35,"Arkansas, Arkansas",0.0
36,"Armstrong county, Pennsylvania",0.0
37,"Armstrong, Pennsylvania",0.0
38,"Arthur, Nebraska",0.0
39,"Ascension, Louisiana",0.0
40,"Ashland, Wisconsin",0.0
41,"Ashley, Arkansas",0.0
42,"Asotin, Washington",0.0
43,"Assumption, Louisiana",0.0
44,"Atoka, Oklahoma",0.0
45,"Audrain, Missouri",0.0
46,"Aurora, South Dakota",0.0
47,"Autauga, Alabama",0.0
48,"Avoyelles, Louisiana",0.0
49,"B, Oklahoma",0.0
50,"Baker county, Florida",0.0
51,"Baker, Florida",0.0
52,"Baker, Oregon",0.0
53,"Baldwin, Alabama",0.0
54,"Ballard, Kentucky",0.0
55,"Baltimore city, Maryland",0.0
56,"Bamberg, South Carolina",0.0
57,"Banner, Nebraska",0.0
58,"Bannock, Idaho",0.0
59,"Baraga, Michigan",0.0
60,"Barbour, Alabama",0.0
61,"Barnwell, South Carolina",0.0
62,"Barren, Kentucky",0.0
63,"Barron, Wisconsin",0.0
64,"Barry, Missouri",0.0
65,"Bartholomew, Indiana",0.0
66,"Baxter, Arkansas",0.0
67,"Bay, Florida",0.0
68,"Bayfield, Wisconsin",0.0
69,"Beadle, South Dakota",0.0
70,"Bear lake, Idaho",0.0
71,"Beaufort, South Carolina",0.0
72,"Beauregard, Louisiana",0.0
73,"Beaver county, Pennsylvania",0.0
74,"Beaver, Oklahoma",0.0
75,"Beaver, Pennsylvania",0.0
76,"Becker, Minnesota",0.0
77,"Beckham, Oklahoma",0.0
78,"Bedford, Pennsylvania",0.0
79,"Bedford, Virginia",0.0
80,"Belknap, New Hampshire",0.0
81,"Bell, Kentucky",0.0
82,"Belmont, Ohio",0.0
83,"Beltrami county, Minnesota",0.0
84,"Beltrami, Minnesota",0.0
85,"Benewah, Idaho",0.0
86,"Bennett, South Dakota",0.0
87,"Benton county, Arkansas",0.0
88,"Benton, Arkansas",0.0
89,"Benton, Indiana",0.0
90,"Benton, Minnesota",0.0
91,"Benton, Missouri",0.0
92,"Benton, Oregon",0.0
93,"Benton, Washington",0.0
94,"Berkeley, South Carolina",0.0
95,"Berkeley, West Virginia",0.0
96,"Berks county, Pennsylvania",0.0
97,"Berks, Pennsylvania",0.0
98,"Bernalillo, New Mexico",0.0
99,"Bibb, Alabama",0.0
100,"Bienville, Louisiana",0.0
101,"Big stone, Minnesota",0.0
102,"Bingham, Idaho",0.0
103,"Blackford, Indiana",0.0
104,"Blaine, Idaho",0.0
105,"Blaine, Montana",0.0
106,"Blaine, Nebraska",0.0
107,"Blaine, Oklahoma",0.0
108,"Blair, Pennsylvania",0.0
109,"Blount, Alabama",0.0
110,"Blue earth, Minnesota",0.0
111,"Boise, Idaho",0.0
112,"Bon homme, South Dakota",0.0
113,"Bond, Illinois",0.0
114,"Bonner, Idaho",0.0
115,"Bonneville, Idaho",0.0
116,"Boone, Arkansas",0.0
117,"Boone, Illinois",0.0
118,"Boone, Indiana",0.0
119,"Boone, Kentucky",0.42857142857142855
120,"Boone, Nebraska",0.0
121,"Bossier, Louisiana",0.0
122,"Boundary, Idaho",0.0
123,"Bourbon, Kentucky",0.0
124,"Box butte, Nebraska",0.0
125,"Boyd, Kentucky",0.0
126,"Boyd, Nebraska",0.0
127,"Boyle, Kentucky",0.0
128,"Bracken, Kentucky",0.0
129,"Bradford, Florida",0.0
130,"Bradford, Pennsylvania",0.0
131,"Bradley, Arkansas",0.0
132,"Braxton, West Virginia",0.0
133,"Breathitt, Kentucky",0.0
134,"Breckinridge, Kentucky",0.0
135,"Brevard, Florida",0.0
136,"Brookings, South Dakota",0.0
137,"Broward county, Florida",0.0
138,"Broward, Florida",0.0
139,"Brown, Indiana",0.0
140,"Brown, Minnesota",0.0
141,"Brown, Nebraska",0.0
142,"Brown, Ohio",0.0
143,"Brown, South Dakota",0.0
144,"Brown, Wisconsin",0.0
145,"Brule, South Dakota",0.0
146,"Bryan, Oklahoma",0.0
147,"Bucks county, Pennsylvania",0.0
148,"Bucks, Pennsylvania",0.0
149,"Buffalo, Nebraska",0.0
150,"Buffalo, Wisconsin",0.0
151,"Bullock, Alabama",0.0
152,"Bureau, Illinois",0.0
153,"Burnett, Wisconsin",0.0
154,"Burt, Nebraska",0.0
155,"Butler, Alabama",0.0
156,"Butler, Kentucky",0.0
157,"Butler, Nebraska",0.0
158,"Butler, Ohio",0.0
159,"Butler, Pennsylvania",0.0
160,"Butte, California",0.0
161,"Butte, Idaho",0.0
162,"Butte, South Dakota",0.0
163,"Caddo parish, Louisiana",0.0
164,"Caddo, Louisiana",0.0
165,"Caddo, Oklahoma",0.0
166,"Calaveras, California",0.0
167,"Calcasieu, Louisiana",0.0
168,"Caldwell, Kentucky",0.0
169,"Caldwell, Louisiana",0.0
170,"Calhoun, Alabama",0.0
171,"Calhoun, Arkansas",0.0
172,"Calhoun, Florida",0.0
173,"Calhoun, Illinois",0.0
174,"Calhoun, South Carolina",0.0
175,"Calloway, Kentucky",0.0
176,"Calumet, Wisconsin",0.0
177,"Cambria county, Pennsylvania",0.0
178,"Cambria, Pennsylvania",0.0
179,"Cameron, Louisiana",0.0
180,"Cameron, Pennsylvania",0.0
181,"Campbell, Kentucky",0.0
182,"Canyon, Idaho",0.0
183,"Carbon, Pennsylvania",0.0
184,"Caribou, Idaho",0.0
185,"Carlisle, Kentucky",0.0
186,"Carlton, Minnesota",0.0
187,"Caroline, Virginia",0.0
188,"Carroll, Arkansas",0.0
189,"Carroll, Illinois",0.0
190,"Carroll, Indiana",0.0
191,"Carroll, Kentucky",0.0
192,"Carroll, Maryland",0.0
193,"Carroll, New Hampshire",0.0
194,"Carson city, Nevada",0.0
195,"Carter, Kentucky",0.0
196,"Carver, Minnesota",0.0
197,"Casey, Kentucky",0.0
198,"Cass, Illinois",0.0
199,"Cass, Indiana",0.0
200,"Cass, Minnesota",0.0
201,"Cass, Nebraska",0.0
202,"Cass, North Dakota",0.0
203,"Cassia, Idaho",0.0
204,"Catahoula, Louisiana",0.0
205,"Catron, New Mexico",0.0
206,"Cattaraugus, New York",0.0
207,"Cecil, Maryland",0.0
208,"Cedar, Nebraska",0.0
209,"Centre county, Pennsylvania",0.0
210,"Centre, Pennsylvania",0.0
211,"Chambers, Alabama",0.0
212,"Champaign, Illinois",0.0
213,"Champaign, Ohio",0.0
214,"Chariton, Missouri",0.0
215,"Charles mix, South Dakota",0.0
216,"Charleston county, South Carolina",0.0
217,"Charleston, South Carolina",0.0
218,"Charlotte, Florida",0.0
219,"Chase, Nebraska",0.0
220,"Chaves, New Mexico",0.0
221,"Chemung, New York",0.0
222,"Cherokee, Alabama",0.0
223,"Cherokee, Oklahoma",0.0
224,"Cherokee, South Carolina",0.0
225,"Cherry, Nebraska",0.0
226,"Cheshire, New Hampshire",0.0
227,"Chester county, Pennsylvania",0.0
228,"Chester, Pennsylvania",0.0
229,"Chester, South Carolina",0.0
230,"Chesterfield, South Carolina",0.0
231,"Cheyenne, Nebraska",0.0
232,"Chicot, Arkansas",0.0
233,"Chilton, Alabama",0.0
234,"Chippewa, Michigan",0.0
235,"Chippewa, Minnesota",0.0
236,"Chippewa, Wisconsin",0.0
237,"Chisago, Minnesota",0.0
238,"Choctaw, Alabama",0.0
239,"Choctaw, Oklahoma",0.0
240,"Christian, Illinois",0.0
241,"Christian, Kentucky",0.0
242,"Churchill, Nevada",0.0
243,"Cibola, New Mexico",0.0
244,"Cimarron, Oklahoma",0.0
245,"Citrus county, Florida",0.0
246,"Citrus, Florida",0.0
247,"Clackamas, Oregon",0.0
248,"Claiborne, Louisiana",0.0
249,"Clarendon, South Carolina",0.0
250,"Clarion, Pennsylvania",0.0
251,"Clark county, Nevada",0.0
252,"Clark, Arkansas",0.0
253,"Clark, Illinois",0.0
254,"Clark, Indiana",0.0
255,"Clark, Kentucky",0.0
256,"Clark, Nevada",0.0
257,"Clark, Ohio",0.0
258,"Clark, South Dakota",0.0
259,"Clark, Washington",0.0
260,"Clark, Wisconsin",0.0
261,"Clarke, Alabama",0.0
262,"Clatsop, Oregon",0.0
263,"Clay, Alabama",0.0
264,"Clay, Arkansas",0.0
265,"Clay, Florida",0.0
266,"Clay, Indiana",0.0
267,"Clay, Kentucky",0.0
268,"Clay, Minnesota",0.0
269,"Clay, Nebraska",0.0
270,"Clay, South Dakota",0.0
271,"Clearfield county, Pennsylvania",0.0
272,"Clearfield, Pennsylvania",0.0
273,"Clearwater, Idaho",0.0
274,"Clearwater, Minnesota",0.0
275,"Cleburne, Alabama",0.0
276,"Cleburne, Arkansas",0.0
277,"Clermont, Ohio",0.0
278,"Cleveland, Arkansas",0.0
279,"Cleveland, Oklahoma",0.0
280,"Clinton, Illinois",0.0
281,"Clinton, Indiana",0.0
282,"Clinton, Iowa",0.0
283,"Clinton, Kentucky",0.0
284,"Clinton, Ohio",0.0
285,"Clinton, Pennsylvania",0.0
286,"Cochise, Arizona",0.0
287,"Coconino, Arizona",0.0
288,"Codington, South Dakota",0.0
289,"Coffee, Alabama",0.0
290,"Colbert, Alabama",0.0
291,"Cole, Missouri",0.0
292,"Coles, Illinois",0.0
293,"Colfax, Nebraska",0.0
294,"Colfax, New Mexico",0.0
295,"Colleton, South Carolina",0.0
296,"Collier, Florida",0.0
297,"Columbia, Arkansas",0.0
298,"Columbia, Florida",0.0
299,"Columbia, Oregon",0.0
300,"Columbia, Pennsylvania",0.0
301,"Columbia, Wisconsin",0.0
302,"Columbiana, Ohio",0.0
303,"Colusa, California",0.0
304,"Comanche, Oklahoma",0.0
305,"Concordia, Louisiana",0.0
306,"Conecuh, Alabama",0.0
307,"Contra costa, California",0.0
308,"Conway, Arkansas",0.0
309,"Cook, Illinois",0.0
310,"Cook, Minnesota",0.0
311,"Coos, New Hampshire",0.0
312,"Coos, Oregon",0.0
313,"Coosa, Alabama",0.0
314,"Corson, South Dakota",0.0
315,"Cortland, New York",0.0
316,"Coshocton, Ohio",0.0
317,"Cotton, Oklahoma",0.0
318,"Cottonwood, Minnesota",0.0
319,"Covington, Alabama",0.0
320,"Cowlitz, Washington",0.0
321,"Craighead, Arkansas",0.0
322,"Crawford county, Pennsylvania",0.0
323,"Crawford, Arkansas",0.0
324,"Crawford, Illinois",0.0
325,"Crawford, Indiana",0.0
326,"Crawford, Pennsylvania",0.0
327,"Crawford, Wisconsin",0.0
328,"Creek, Oklahoma",0.0
329,"Crenshaw, Alabama",0.0
330,"Crittenden, Arkansas",0.0
331,"Crittenden, Kentucky",0.0
332,"Crook, Oregon",0.0
333,"Crook, Wyoming",0.0
334,"Cross, Arkansas",0.0
335,"Crow wing, Minnesota",0.0
336,"Cullman, Alabama",0.0
337,"Cumberland county, Pennsylvania",0.0
338,"Cumberland, Illinois",0.0
339,"Cumberland, Kentucky",0.0
340,"Cumberland, Pennsylvania",0.0
341,"Cuming, Nebraska",0.0
342,"Curry, New Mexico",0.0
343,"Curry, Oregon",0.0
344,"Custer, Idaho",0.0
345,"Custer, Nebraska",0.0
346,"Custer, Oklahoma",0.0
347,"Custer, South Dakota",0.0
348,"Cuyahoga, Ohio",0.0
349,"Dade, Florida",0.0
350,"Dakota, Minnesota",0.0
351,"Dakota, Nebraska",0.0
352,"Dale, Alabama",0.0
353,"Dallas, Alabama",0.0
354,"Dallas, Arkansas",0.0
355,"Dane, Wisconsin",0.0
356,"Darlington, South Carolina",0.0
357,"Dauphin county, Pennsylvania",0.0
358,"Dauphin, Pennsylvania",0.0
359,"Davidson, Tennessee",0.0
360,"Daviess, Indiana",0.0
361,"Daviess, Kentucky",0.0
362,"Dawes, Nebraska",0.0
363,"Dawson, Nebraska",0.0
364,"Day, South Dakota",0.0
365,"De baca, New Mexico",0.0
366,"De kalb, Indiana",0.0
367,"De soto, Florida",0.0
368,"De soto, Louisiana",0.0
369,"De witt, Illinois",0.0
370,"Dearborn, Indiana",0.0
371,"Decatur, Indiana",0.0
372,"Defiance, Ohio",0.0
373,"Dekalb, Alabama",0.0
374,"Dekalb, Illinois",0.0
375,"Dekalb, Indiana",0.0
376,"Delaware, Indiana",0.0
377,"Delaware, Ohio",0.0
378,"Delaware, Oklahoma",0.0
379,"Delaware, Pennsylvania",0.0
380,"Deschutes, Oregon",0.0
381,"Desha, Arkansas",0.0
382,"Desoto, Florida",0.0
383,"Deuel, Nebraska",0.0
384,"Dewey, Oklahoma",0.0
385,"Dewey, South Dakota",0.0
386,"Dickey, North Dakota",0.0
387,"Dickson, Tennessee",0.0
388,"Dillon, South Carolina",0.0
389,"District of columbia, District of Columbia",0.0
390,"Dixie, Florida",0.0
391,"Dixon, Nebraska",0.0
392,"Dodge, Minnesota",0.0
393,"Dodge, Nebraska",0.0
394,"Dodge, Wisconsin",0.0
395,"Dona ana, New Mexico",0.0
396,"Door, Wisconsin",0.0
397,"Dorchester, South Carolina",0.0
398,"Douglas, Illinois",0.0
399,"Douglas, Minnesota",0.0
400,"Douglas, Nebraska",0.0
401,"Douglas, Nevada",0.0
402,"Douglas, Oregon",0.0
403,"Douglas, Wisconsin",0.0
404,"Drew, Arkansas",0.0
405,"Du page, Illinois",0.0
406,"Dubois, Indiana",0.0
407,"Dundy, Nebraska",0.0
408,"Dunn, Wisconsin",0.0
409,"Dupage, Illinois",0.0
410,"Duval county, Florida",0.0
411,"Duval, Florida",0.0
412,"East baton rouge parish, Louisiana",0.0
413,"East baton rouge, Louisiana",0.0
414,"East carroll, Louisiana",0.0
415,"East feliciana, Louisiana",0.0
416,"Eau claire, Wisconsin",0.0
417,"Eddy, New Mexico",0.0
418,"Edgar, Illinois",0.0
419,"Edmonson, Kentucky",0.0
420,"Edwards, Illinois",0.0
421,"Effingham, Illinois",0.0
422,"El dorado, California",0.0
423,"Elk, Pennsylvania",0.0
424,"Elkhart, Indiana",0.0
425,"Elko, Nevada",0.0
426,"Elliott, Kentucky",0.0
427,"Ellis, Oklahoma",0.0
428,"Elmore, Alabama",0.0
429,"Elmore, Idaho",0.0
430,"Erie county, Pennsylvania",0.0
431,"Erie, Ohio",0.0
432,"Erie, Pennsylvania",0.0
433,"Escambia, Alabama",0.0
434,"Escambia, Florida",0.0
435,"Esmeralda, Nevada",0.0
436,"Essex, Massachusetts",0.0
437,"Estill, Kentucky",0.0
438,"Etowah, Alabama",0.0
439,"Eureka county, Nevada",0.0
440,"Eureka, Nevada",0.0
441,"Evangeline parish, Louisiana",0.0
442,"Evangeline, Louisiana",0.0
443,"Fairbanks north star, Alaska",0.0
444,"Fairfield, Connecticut",0.0
445,"Fairfield, Ohio",0.0
446,"Fairfield, South Carolina",0.0
447,"Fall river, South Dakota",0.0
448,"Faulk, South Dakota",0.0
449,"Fayette, Alabama",0.0
450,"Fayette, Illinois",0.0
451,"Fayette, Indiana",0.0
452,"Fayette, Kentucky",0.0
453,"Fayette, Ohio",0.0
454,"Fayette, Pennsylvania",0.0
455,"Fayette, West Virginia",0.0
456,"Fillmore, Minnesota",0.0
457,"Fillmore, Nebraska",0.0
458,"Flagler, Florida",0.0
459,"Fleming, Kentucky",0.0
460,"Florence, South Carolina",0.0
461,"Florence, Wisconsin",0.0
462,"Floyd, Indiana",0.0
463,"Floyd, Kentucky",0.0
464,"Fond du lac, Wisconsin",0.0
465,"Ford, Illinois",0.0
466,"Forest, Pennsylvania",0.0
467,"Forest, Wisconsin",0.0
468,"Fountain, Indiana",0.0
469,"Franklin county, Pennsylvania",0.0
470,"Franklin, Alabama",0.0
471,"Franklin, Arkansas",0.0
472,"Franklin, Florida",0.0
473,"Franklin, Idaho",0.0
474,"Franklin, Indiana",0.0
475,"Franklin, Kentucky",0.0
476,"Franklin, Louisiana",0.0
477,"Franklin, Nebraska",0.0
478,"Franklin, Ohio",0.0
479,"Franklin, Pennsylvania",0.0
480,"Frederick, Maryland",0.0
481,"Freeborn, Minnesota",0.0
482,"Fremont, Idaho",0.0
483,"Fremont, Wyoming",0.0
484,"Fresno, California",0.0
485,"Frontier, Nebraska",0.0
486,"Fulton, Arkansas",0.0
487,"Fulton, Illinois",0.0
488,"Fulton, Indiana",0.0
489,"Fulton, Kentucky",0.0
490,"Fulton, Ohio",0.0
491,"Fulton, Pennsylvania",0.0
492,"Furnas, Nebraska",0.0
493,"Gadsden, Florida",0.0
494,"Gage, Nebraska",0.0
495,"Gallatin, Kentucky",0.0
496,"Garden, Nebraska",0.0
497,"Garfield, Nebraska",0.0
498,"Garfield, Oklahoma",0.0
499,"Garland, Arkansas",0.0
500,"Garrard, Kentucky",0.0
501,"Garvin, Oklahoma",0.0
502,"Geauga, Ohio",0.0
503,"Gem, Idaho",0.0
504,"Genesee, New York",0.0
505,"Geneva, Alabama",0.0
506,"Georgetown, South Carolina",0.0
507,"Gibson, Indiana",0.0
508,"Gila, Arizona",0.0
509,"Gilchrist, Florida",0.0
510,"Giles, Tennessee",0.0
511,"Giles, Virginia",0.0
512,"Gilliam, Oregon",0.0
513,"Glacier, Montana",0.0
514,"Glades, Florida",0.0
515,"Glenn, California",0.0
516,"Gogebic, Michigan",0.0
517,"Goodhue, Minnesota",0.0
518,"Gooding, Idaho",0.0
519,"Gosper, Nebraska",0.0
520,"Grady, Oklahoma",0.0
521,"Grafton, New Hampshire",0.0
522,"Graham county, Arizona",0.0
523,"Graham, Arizona",0.0
