,county,mercury
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.013999999999999999
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.01857142857142857
10,"Adams, Indiana",0.07692307692307693
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.0
14,"Adams, Washington",0.0
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.0
17,"Aiken, South Carolina",0.0070718232044198895
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.0017543859649122807
20,"Alamance, North Carolina",0.0
21,"Alameda, California",0.0003832442067736186
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Aleutians east borough, Alaska",0.0
27,"Aleutians east, Alaska",0.0
28,"Aleutians west census area, Alaska",0.0
29,"Aleutians west, Alaska",0.0
30,"Alexander, Illinois",0.0
31,"Alexander, North Carolina",0.0
32,"Alfalfa, Oklahoma",0.0
33,"Alger, Michigan",0.0
34,"Allamakee, Iowa",0.0
35,"Allegan, Michigan",0.0
36,"Allegany, Maryland",0.013333333333333334
37,"Allegany, New York",0.21458333333333335
38,"Alleghany, North Carolina",0.0
39,"Alleghany, Virginia",0.0
40,"Allegheny county, Pennsylvania",0.0
41,"Allegheny, Pennsylvania",0.0
42,"Allen, Indiana",0.00851063829787234
43,"Allen, Kansas",0.0
44,"Allen, Kentucky",0.0
45,"Allen, Louisiana",0.0
46,"Allen, Ohio",0.0
47,"Allendale, South Carolina",0.0
48,"Alpena, Michigan",0.0
49,"Alpine, California",0.0125
50,"Amador, California",0.0
51,"Amelia, Virginia",0.0
52,"American samoa, American Samoa",0.0
53,"Amherst, Virginia",0.0
54,"Anchorage municipality, Alaska",0.0
55,"Anchorage, Alaska",0.0
56,"Anderson, Kansas",0.0
57,"Anderson, Kentucky",0.0
58,"Anderson, South Carolina",0.0
59,"Anderson, Tennessee",0.0
60,"Anderson, Texas",0.0
61,"Andrew, Missouri",0.0
62,"Andrews, Texas",0.0
63,"Androscoggin, Maine",0.002368421052631579
64,"Angelina, Texas",0.0
65,"Anne arundel, Maryland",0.0008474576271186442
66,"Anoka, Minnesota",0.0047157894736842105
67,"Anson, North Carolina",0.0
68,"Antelope, Nebraska",0.0
69,"Antrim, Michigan",0.0
70,"Apache, Arizona",0.07746478873239436
71,"Appomattox, Virginia",0.0
72,"Aransas, Texas",0.0
73,"Archer, Texas",0.0
74,"Arenac, Michigan",0.0
75,"Arkansas, Arkansas",0.0
76,"Armstrong, Pennsylvania",0.0
77,"Armstrong, Texas",0.0
78,"Aroostook, Maine",0.009844559585492227
79,"Arthur, Nebraska",0.0
80,"Ascension, Louisiana",0.0
81,"Ashe, North Carolina",0.0
82,"Ashland, Ohio",0.0
83,"Ashland, Wisconsin",0.017272727272727273
84,"Ashley, Arkansas",0.0
85,"Ashtabula, Ohio",0.0
86,"Asotin, Washington",0.0
87,"Assumption, Louisiana",0.0
88,"Atascosa county, Texas",0.0
89,"Atascosa, Texas",0.0
90,"Atchison, Kansas",0.0
91,"Atchison, Missouri",0.0
92,"Athens, Ohio",0.0
93,"Atlantic, New Jersey",0.05724193548387097
94,"Atoka, Oklahoma",0.0
95,"Audrain, Missouri",0.0
96,"Auglaize, Ohio",0.0
97,"Augusta, Virginia",0.0
98,"Austin, Texas",0.0
99,"Autauga, Alabama",0.0
100,"Avery, North Carolina",0.0
101,"Avoyelles, Louisiana",0.004338461538461539
102,"B, Oklahoma",0.0
103,"Bailey, Texas",0.0
104,"Baker county, Florida",0.0
105,"Baker, Florida",0.003703703703703704
106,"Baker, Oregon",0.0
107,"Baldwin, Alabama",0.003529411764705883
108,"Ballard, Kentucky",0.0
109,"Baltimore, Maryland",0.002537313432835821
110,"Bamberg, South Carolina",0.0
111,"Bandera, Texas",0.0
112,"Banner, Nebraska",0.0
113,"Bannock, Idaho",0.0
114,"Baraga, Michigan",0.0
115,"Barber, Kansas",0.0
116,"Barbour, Alabama",0.0
117,"Barbour, West Virginia",0.0
118,"Barnes, North Dakota",0.0
119,"Barnstable, Massachusetts",0.0008026755852842809
120,"Barnwell, South Carolina",0.0
121,"Barren, Kentucky",0.0
122,"Barron, Wisconsin",0.007792207792207792
123,"Barry, Michigan",0.0
124,"Barry, Missouri",0.0
125,"Bartholomew, Indiana",0.0
126,"Barton, Kansas",0.0
127,"Barton, Missouri",0.017142857142857144
128,"Bastrop, Texas",0.0
129,"Bates, Missouri",0.009166666666666667
130,"Bath, Virginia",0.0
131,"Baxter, Arkansas",0.0
132,"Bay, Florida",0.018181818181818184
133,"Bay, Michigan",0.0
134,"Bayfield, Wisconsin",0.0010344827586206897
135,"Baylor, Texas",0.0
136,"Beadle, South Dakota",0.0
137,"Bear lake, Idaho",0.0
138,"Beaufort, North Carolina",0.0
139,"Beaufort, South Carolina",0.0
140,"Beauregard, Louisiana",0.052225806451612906
141,"Beaver, Oklahoma",0.0
142,"Beaver, Pennsylvania",0.02
143,"Beaver, Utah",0.0
144,"Beaverhead, Montana",0.01368421052631579
145,"Becker, Minnesota",0.0022222222222222222
146,"Beckham, Oklahoma",0.0
147,"Bedford county, Pennsylvania",0.0
148,"Bedford, Pennsylvania",0.0
149,"Bedford, Tennessee",0.0
150,"Bedford, Virginia",0.0
151,"Bee, Texas",0.0
152,"Belknap, New Hampshire",0.015
153,"Bell, Kentucky",0.0
154,"Bell, Texas",0.0
155,"Belmont, Ohio",0.0
156,"Beltrami county, Minnesota",0.0
157,"Beltrami, Minnesota",0.004923076923076923
158,"Benewah, Idaho",0.0
159,"Bennett, South Dakota",0.0
160,"Bennington, Vermont",0.44776119402985076
161,"Benson, North Dakota",0.0
162,"Benton county, Arkansas",0.0
163,"Benton, Arkansas",0.0
164,"Benton, Indiana",0.09999999999999999
165,"Benton, Iowa",0.0
166,"Benton, Minnesota",0.002307692307692308
167,"Benton, Missouri",0.0
168,"Benton, Oregon",0.0
169,"Benton, Tennessee",0.0
170,"Benton, Washington",0.001388888888888889
171,"Benzie, Michigan",0.0
172,"Bergen, New Jersey",0.0004484304932735426
173,"Berkeley, South Carolina",0.003384615384615385
174,"Berkeley, West Virginia",0.02564102564102564
175,"Berks county, Pennsylvania",0.0
176,"Berks, Pennsylvania",0.0031645569620253164
177,"Berkshire, Massachusetts",0.0
178,"Bernalillo, New Mexico",0.0008553191489361703
179,"Berrien, Michigan",0.0
180,"Bertie, North Carolina",0.0
181,"Bethel census area, Alaska",0.0
182,"Bethel, Alaska",0.012199999999999999
183,"Bexar, Texas",0.0011255813953488373
184,"Bibb, Alabama",0.0
185,"Bienville, Louisiana",0.0
186,"Big horn, Montana",0.0071428571428571435
187,"Big horn, Wyoming",0.008823529411764706
188,"Big stone, Minnesota",0.0
189,"Billings, North Dakota",0.0
190,"Bingham, Idaho",0.003703703703703704
191,"Black hawk, Iowa",0.0
192,"Blackford, Indiana",0.0
193,"Bladen, North Carolina",0.0
194,"Blaine, Idaho",0.0
195,"Blaine, Montana",0.0
196,"Blaine, Nebraska",0.0
197,"Blaine, Oklahoma",0.0
198,"Blair, Pennsylvania",0.0
199,"Blanco, Texas",0.0
200,"Bland, Virginia",0.0
201,"Bledsoe, Tennessee",0.0
202,"Blount, Alabama",0.00911111111111111
203,"Blount, Tennessee",0.025
204,"Blue earth, Minnesota",0.008888888888888889
205,"Boise, Idaho",0.2606060606060606
206,"Bollinger, Missouri",0.0
207,"Bon homme, South Dakota",0.0
208,"Bond, Illinois",0.0
209,"Bonner, Idaho",0.0
210,"Bonneville, Idaho",0.0
211,"Boone, Arkansas",0.0
212,"Boone, Illinois",0.0
213,"Boone, Indiana",0.018181818181818184
214,"Boone, Kentucky",0.0
215,"Boone, Missouri",0.0027848101265822785
216,"Boone, Nebraska",0.0
217,"Boone, West Virginia",0.08294117647058823
218,"Bosque, Texas",0.0
219,"Bossier, Louisiana",0.0
220,"Botetourt, Virginia",0.0
221,"Bottineau, North Dakota",0.0
222,"Boundary, Idaho",0.0
223,"Bourbon, Kansas",0.0
224,"Bourbon, Kentucky",0.0
225,"Bowie, Texas",0.0
226,"Bowman, North Dakota",0.0
227,"Box butte, Nebraska",0.0
228,"Box elder, Utah",0.011842105263157895
229,"Boyd, Kentucky",0.0
230,"Boyd, Nebraska",0.0
231,"Boyle, Kentucky",0.0
232,"Bracken, Kentucky",0.0
233,"Bradford, Florida",0.0
234,"Bradford, Pennsylvania",0.0
235,"Bradley, Arkansas",0.0
236,"Bradley, Tennessee",0.0
237,"Branch, Michigan",0.0
238,"Braxton, West Virginia",0.013043478260869565
239,"Brazoria, Texas",0.0
240,"Brazos, Texas",0.0
241,"Breathitt, Kentucky",0.0
242,"Breckinridge, Kentucky",0.0
243,"Bremer, Iowa",0.0
244,"Brevard, Florida",0.002666666666666667
245,"Brewster, Texas",0.0
246,"Briscoe, Texas",0.0
247,"Bristol bay, Alaska",0.0
248,"Bristol, Massachusetts",0.0
249,"Bristol, Rhode Island",0.0
250,"Bristol, Virginia",0.0
251,"Broadwater, Montana",0.0
252,"Brooke, West Virginia",0.0
253,"Brookings, South Dakota",0.0
254,"Brooks, Texas",0.0
255,"Broome, New York",0.006565656565656566
256,"Broward county, Florida",0.025
257,"Broward, Florida",0.018279569892473126
258,"Brown, Illinois",0.0
259,"Brown, Indiana",0.03333333333333333
260,"Brown, Kansas",0.0
261,"Brown, Minnesota",0.0
262,"Brown, Nebraska",0.0
263,"Brown, Ohio",0.0
264,"Brown, South Dakota",0.0
265,"Brown, Texas",0.0
266,"Brown, Wisconsin",0.009338028169014086
267,"Brule, South Dakota",0.0
268,"Brunswick, North Carolina",0.0
269,"Brunswick, Virginia",0.0
270,"Bryan, Oklahoma",0.0
271,"Buchanan, Iowa",0.0
272,"Buchanan, Virginia",0.0
273,"Buckingham, Virginia",0.0
274,"Bucks county, Pennsylvania",0.0
275,"Bucks, Pennsylvania",0.009843575418994412
276,"Buena vista, Iowa",0.0
277,"Buena vista, Virginia",0.0
278,"Buffalo, Nebraska",0.0
279,"Buffalo, Wisconsin",0.025806451612903226
280,"Bullock, Alabama",0.0
281,"Buncombe, North Carolina",0.0
282,"Bureau, Illinois",0.004545454545454545
283,"Burke, North Carolina",0.0
284,"Burke, North Dakota",0.0
285,"Burleigh, North Dakota",0.0
286,"Burleson, Texas",0.0
287,"Burlington, New Jersey",0.0037160493827160497
288,"Burnet, Texas",0.0
289,"Burnett, Wisconsin",0.0
290,"Burt, Nebraska",0.0
291,"Butler county, Pennsylvania",0.0
292,"Butler, Alabama",0.0
293,"Butler, Iowa",0.0
294,"Butler, Kansas",0.0
295,"Butler, Kentucky",0.0
296,"Butler, Missouri",0.0
297,"Butler, Nebraska",0.0
298,"Butler, Ohio",0.0
299,"Butler, Pennsylvania",0.02127659574468085
300,"Butte, California",0.005724528301886793
301,"Butte, Idaho",0.0
302,"Butte, South Dakota",0.0
303,"Cabarrus, North Carolina",0.0
304,"Cabell, West Virginia",0.0
305,"Cache, Utah",0.0040650406504065045
306,"Caddo parish, Louisiana",0.0
307,"Caddo, Louisiana",0.0
308,"Caddo, Oklahoma",0.0
309,"Calaveras, California",0.0
310,"Calcasieu, Louisiana",0.0045045045045045045
311,"Caldwell, Kentucky",0.0
312,"Caldwell, Louisiana",0.0
313,"Caldwell, Missouri",0.0
314,"Caldwell, North Carolina",0.0
315,"Caldwell, Texas",0.0
316,"Caledonia, Vermont",0.0
317,"Calhoun, Alabama",0.0
318,"Calhoun, Arkansas",0.0
319,"Calhoun, Florida",0.0
320,"Calhoun, Illinois",0.0
321,"Calhoun, Iowa",0.0
322,"Calhoun, Michigan",0.0
323,"Calhoun, South Carolina",0.04181818181818182
324,"Calhoun, Texas",0.0
325,"Calhoun, West Virginia",0.0
326,"Callahan, Texas",0.0
327,"Callaway, Missouri",0.0
328,"Calloway, Kentucky",0.0
329,"Calumet, Wisconsin",0.0
330,"Calvert, Maryland",0.0
331,"Cambria county, Pennsylvania",0.0
332,"Cambria, Pennsylvania",0.0
333,"Camden, Missouri",0.002857142857142857
334,"Camden, New Jersey",0.0448407960199005
335,"Camden, North Carolina",0.0
336,"Cameron, Louisiana",0.0
337,"Cameron, Pennsylvania",0.0
338,"Cameron, Texas",0.0
339,"Camp, Texas",0.0
340,"Campbell, Kentucky",0.0
341,"Campbell, Tennessee",0.0
342,"Campbell, Virginia",0.007407407407407408
343,"Campbell, Wyoming",0.0
344,"Canadian, Oklahoma",0.0
345,"Cannon, Tennessee",0.0
346,"Canyon, Idaho",0.0
347,"Cape girardeau, Missouri",0.0
348,"Cape may, New Jersey",0.01661111111111111
349,"Carbon county, Pennsylvania",0.0
350,"Carbon, Montana",0.0
351,"Carbon, Pennsylvania",0.022222222222222223
352,"Carbon, Utah",0.0
353,"Carbon, Wyoming",0.0
354,"Caribou, Idaho",0.003055555555555556
355,"Carlisle, Kentucky",0.0
356,"Carlton, Minnesota",0.004074074074074075
357,"Caroline, Maryland",0.0
358,"Caroline, Virginia",0.0
359,"Carroll, Arkansas",0.0
360,"Carroll, Illinois",0.0
361,"Carroll, Indiana",0.0642857142857143
362,"Carroll, Iowa",0.0
363,"Carroll, Kentucky",0.0
364,"Carroll, Maryland",0.03333333333333333
365,"Carroll, Missouri",0.0
366,"Carroll, New Hampshire",0.009213483146067415
367,"Carroll, Ohio",0.0
368,"Carroll, Tennessee",0.0
369,"Carroll, Virginia",0.0
370,"Carson city, Nevada",0.0
371,"Carson, Texas",0.0
372,"Carter, Kentucky",0.0
373,"Carter, Missouri",0.0
374,"Carter, Montana",0.0
375,"Carter, Oklahoma",0.015000000000000001
376,"Carter, Tennessee",0.0
377,"Carteret, North Carolina",0.0
378,"Carver, Minnesota",0.002424242424242424
379,"Cascade, Montana",0.0
380,"Casey, Kentucky",0.0
381,"Cass, Illinois",0.0
382,"Cass, Indiana",0.0
383,"Cass, Iowa",0.0
384,"Cass, Michigan",0.0
385,"Cass, Minnesota",0.0023913043478260873
386,"Cass, Missouri",0.0
387,"Cass, Nebraska",0.0
388,"Cass, North Dakota",0.0
389,"Cass, Texas",0.0
390,"Cassia, Idaho",0.0
391,"Castro, Texas",0.0
392,"Caswell, North Carolina",0.0
393,"Catahoula, Louisiana",0.0
394,"Catawba, North Carolina",0.0048192771084337345
395,"Catron, New Mexico",0.0
396,"Cattaraugus, New York",0.0015748031496062994
397,"Cavalier, North Dakota",0.0
398,"Cayuga county, New York",0.31666666666666665
399,"Cayuga, New York",0.0043661971830985915
400,"Cecil, Maryland",0.0
401,"Cedar, Iowa",0.0
402,"Cedar, Missouri",0.023809523809523808
403,"Cedar, Nebraska",0.0
404,"Centre county, Pennsylvania",0.0
405,"Centre, Pennsylvania",0.0
406,"Cerro gordo, Iowa",0.0
407,"Chambers, Alabama",0.0
408,"Chambers, Texas",0.0
409,"Champaign, Illinois",0.0
410,"Champaign, Ohio",0.0
411,"Chariton, Missouri",0.0
412,"Charles city, Virginia",0.0
413,"Charles mix, South Dakota",0.0
414,"Charles, Maryland",0.0
415,"Charleston county, South Carolina",0.0
416,"Charleston, South Carolina",0.006666666666666667
417,"Charlevoix, Michigan",0.0
418,"Charlotte, Florida",0.0
419,"Charlotte, Virginia",0.0
420,"Chase, Kansas",0.0
421,"Chase, Nebraska",0.0
422,"Chatham, North Carolina",0.0
423,"Chautauqua, Kansas",0.0
424,"Chautauqua, New York",0.003418803418803419
425,"Chaves, New Mexico",0.0
426,"Cheatham, Tennessee",0.0
427,"Cheboygan, Michigan",0.0
428,"Chelan, Washington",0.0
429,"Chemung, New York",0.004705882352941177
430,"Chenango, New York",0.4140127388535032
431,"Cherokee, Alabama",0.0
432,"Cherokee, Iowa",0.0
433,"Cherokee, Kansas",0.0
434,"Cherokee, North Carolina",0.0
435,"Cherokee, Oklahoma",0.0
436,"Cherokee, South Carolina",0.051111111111111114
437,"Cherokee, Texas",0.0
438,"Cherry, Nebraska",0.0
439,"Chesapeake city, Virginia",0.0
440,"Chesapeake, Virginia",0.0
441,"Cheshire, New Hampshire",0.012
442,"Chester county, Pennsylvania",0.0
443,"Chester, Pennsylvania",0.0019047619047619048
444,"Chester, South Carolina",0.025833333333333333
445,"Chester, Tennessee",0.0
446,"Chesterfield, South Carolina",0.0
447,"Chesterfield, Virginia",0.0
448,"Cheyenne, Kansas",0.0
449,"Cheyenne, Nebraska",0.0
450,"Chickasaw, Iowa",0.0
451,"Chicot, Arkansas",0.0
452,"Chilton, Alabama",0.0
453,"Chippewa, Michigan",0.0
454,"Chippewa, Minnesota",0.0
455,"Chippewa, Wisconsin",0.0
456,"Chisago, Minnesota",0.0034000000000000002
457,"Chittenden, Vermont",0.0
458,"Choctaw, Alabama",0.0
459,"Choctaw, Oklahoma",0.0
460,"Chouteau, Montana",0.011764705882352941
461,"Chowan, North Carolina",0.0
462,"Christian, Illinois",0.0
463,"Christian, Kentucky",0.0
464,"Christian, Missouri",0.002436974789915966
465,"Churchill, Nevada",0.0
466,"Cibola, New Mexico",0.0
467,"Cimarron, Oklahoma",0.0
468,"Citrus county, Florida",0.0
469,"Citrus, Florida",0.00404040404040404
470,"Clackamas, Oregon",0.0
471,"Claiborne, Louisiana",0.0
472,"Claiborne, Tennessee",0.0
473,"Clallam, Washington",0.0
474,"Clare, Michigan",0.0
475,"Clarendon, South Carolina",0.0038235294117647052
476,"Clarion, Pennsylvania",0.0
477,"Clark, Arkansas",0.0
478,"Clark, Idaho",0.0
479,"Clark, Illinois",0.0
480,"Clark, Indiana",0.016666666666666666
481,"Clark, Kansas",0.0
482,"Clark, Kentucky",0.0
483,"Clark, Missouri",0.0
484,"Clark, Nevada",0.01864139020537125
485,"Clark, Ohio",0.0007792207792207793
486,"Clark, South Dakota",0.0
487,"Clark, Washington",0.005
488,"Clark, Wisconsin",0.005797101449275362
489,"Clarke, Alabama",0.0
490,"Clarke, Virginia",0.0
491,"Clatsop, Oregon",0.0
492,"Clay, Alabama",0.0
493,"Clay, Arkansas",0.0
494,"Clay, Florida",0.0
495,"Clay, Illinois",0.0
496,"Clay, Indiana",0.06
497,"Clay, Iowa",0.0
498,"Clay, Kansas",0.0
499,"Clay, Kentucky",0.0
500,"Clay, Minnesota",0.01
501,"Clay, Missouri",0.0
502,"Clay, Nebraska",0.0
503,"Clay, North Carolina",0.022727272727272728
504,"Clay, South Dakota",0.0
505,"Clay, Tennessee",0.0
506,"Clay, Texas",0.0
507,"Clay, West Virginia",0.0
508,"Clayton, Iowa",0.0
509,"Clearfield county, Pennsylvania",0.0
510,"Clearfield, Pennsylvania",0.0
511,"Clearwater, Idaho",0.0
512,"Clearwater, Minnesota",0.0
513,"Cleburne, Alabama",0.0
514,"Cleburne, Arkansas",0.0
515,"Clermont, Ohio",0.0
516,"Cleveland, Arkansas",0.0
517,"Cleveland, North Carolina",0.0
518,"Cleveland, Oklahoma",0.0
519,"Clinton, Illinois",0.0
520,"Clinton, Indiana",0.025000000000000005
521,"Clinton, Iowa",0.0
522,"Clinton, Kentucky",0.0
523,"Clinton, Michigan",0.0
524,"Clinton, Missouri",0.0
525,"Clinton, New York",0.0
526,"Clinton, Ohio",0.0
527,"Clinton, Pennsylvania",0.0
528,"Cloud, Kansas",0.0
529,"Coal, Oklahoma",0.0
530,"Cochise, Arizona",0.0
531,"Cochran, Texas",0.0
532,"Cocke, Tennessee",0.0
533,"Coconino, Arizona",0.0
534,"Codington, South Dakota",0.0
535,"Coffee, Alabama",0.0
536,"Coffee, Tennessee",0.0
537,"Coffey, Kansas",0.0
538,"Coke, Texas",0.0
539,"Colbert, Alabama",0.0
540,"Cole, Missouri",0.0
541,"Coleman, Texas",0.0
542,"Coles, Illinois",0.0
543,"Colfax, Nebraska",0.0
544,"Colfax, New Mexico",0.0
545,"Colleton, South Carolina",0.0035000000000000005
546,"Collier, Florida",0.004761904761904762
547,"Collin, Texas",0.0
548,"Collingsworth, Texas",0.0
549,"Colorado, Texas",0.0
550,"Columbia county, Pennsylvania",0.0
551,"Columbia, Arkansas",0.0
552,"Columbia, Florida",0.006896551724137932
553,"Columbia, New York",0.0
554,"Columbia, Oregon",0.0
555,"Columbia, Pennsylvania",0.0
556,"Columbia, Washington",0.0
557,"Columbia, Wisconsin",0.0008771929824561404
558,"Columbiana, Ohio",0.00980392156862745
559,"Columbus county, North Carolina",0.0
560,"Columbus, North Carolina",0.0
561,"Colusa, California",0.006440677966101696
562,"Comal, Texas",0.0
563,"Comanche, Kansas",0.0
564,"Comanche, Oklahoma",0.0
565,"Comanche, Texas",0.0
566,"Concho, Texas",0.0
567,"Concordia, Louisiana",0.0
568,"Conecuh, Alabama",0.007466666666666667
569,"Contra costa, California",0.0005029585798816568
570,"Converse, Wyoming",0.0
571,"Conway, Arkansas",0.0
572,"Cook, Illinois",0.0
573,"Cook, Minnesota",0.004375
574,"Cooke, Texas",0.0
575,"Cooper, Missouri",0.0
576,"Coos, New Hampshire",0.0033707865168539327
577,"Coos, Oregon",0.0
578,"Coosa, Alabama",0.0
579,"Corson, South Dakota",0.0
580,"Cortland, New York",0.0
581,"Coryell, Texas",0.0
582,"Coshocton, Ohio",0.0
583,"Cottle, Texas",0.0
584,"Cotton, Oklahoma",0.0
585,"Cottonwood county, Minnesota",0.0
586,"Cottonwood, Minnesota",0.0
587,"Covington, Alabama",0.0
588,"Covington, Virginia",0.0
589,"Cowley, Kansas",0.0
590,"Cowlitz, Washington",0.0
591,"Craig, Oklahoma",0.0
592,"Craig, Virginia",0.0
593,"Craighead, Arkansas",0.0
594,"Crane, Texas",0.0
595,"Craven, North Carolina",0.0
