,county,pentachlorophenol
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.011705882352941177
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",0.0
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.0
13,"Adams, Nebraska",0.0
14,"Adams, Ohio",0.0
15,"Adams, Pennsylvania",0.0010526315789473684
16,"Adams, Washington",0.0
17,"Adams, Wisconsin",0.0
18,"Addison, Vermont",0.0
19,"Aiken, South Carolina",0.0
20,"Aitkin, Minnesota",0.0
21,"Alachua, Florida",0.0
22,"Alamance, North Carolina",0.0
23,"Alameda, California",0.0028630705394190868
24,"Albany, New York",0.0
25,"Albany, Wyoming",0.0
26,"Albemarle, Virginia",0.0
27,"Alcona, Michigan",0.0
28,"Alexander, Illinois",0.0
29,"Alexander, North Carolina",0.0
30,"Alfalfa, Oklahoma",0.0
31,"Alger, Michigan",0.0
32,"Allamakee county, Iowa",0.0
33,"Allamakee, Iowa",0.0
34,"Allegan, Michigan",0.0
35,"Allegany, Maryland",0.0073846153846153844
36,"Allegany, New York",0.0
37,"Alleghany, North Carolina",0.0
38,"Alleghany, Virginia",0.0
39,"Allegheny county, Pennsylvania",0.0
40,"Allegheny, Pennsylvania",0.0
41,"Allen, Indiana",0.0
42,"Allen, Kentucky",0.0
43,"Allen, Louisiana",0.0
44,"Allendale, South Carolina",0.0
45,"Alpena, Michigan",0.0
46,"Alpine, California",0.0
47,"American samoa, American Samoa",0.0
48,"Amherst, Virginia",0.0
49,"Anderson, Kentucky",0.0
50,"Anderson, South Carolina",0.0
51,"Anderson, Texas",0.0
52,"Andrew, Missouri",0.0
53,"Andrews, Texas",0.0
54,"Androscoggin, Maine",0.0
55,"Angelina, Texas",0.0
56,"Anne arundel, Maryland",0.0022916666666666667
57,"Anoka, Minnesota",0.0
58,"Anson, North Carolina",0.0025555555555555557
59,"Antelope, Nebraska",0.0
60,"Antrim, Michigan",0.0
61,"Apache, Arizona",0.0
62,"Appanoose, Iowa",0.0
63,"Aransas, Texas",0.0
64,"Archer, Texas",0.0
65,"Arenac, Michigan",0.0
66,"Arkansas, Arkansas",0.0
67,"Armstrong county, Pennsylvania",0.0
68,"Armstrong, Pennsylvania",0.0
69,"Armstrong, Texas",0.0
70,"Aroostook, Maine",0.0
71,"Arthur, Nebraska",0.0
72,"Ascension, Louisiana",0.0
73,"Ashe, North Carolina",0.0
74,"Ashland, Wisconsin",0.0
75,"Ashley, Arkansas",0.0
76,"Asotin, Washington",0.0
77,"Assumption, Louisiana",0.0
78,"Atascosa county, Texas",0.0
79,"Atascosa, Texas",0.0
80,"Atchison, Missouri",0.0
81,"Atlantic, New Jersey",0.0
82,"Atoka, Oklahoma",0.0
83,"Audrain, Missouri",0.0
84,"Audubon, Iowa",0.0
85,"Augusta, Virginia",0.0
86,"Aurora, South Dakota",0.0
87,"Austin, Texas",0.0
88,"Autauga, Alabama",0.0
89,"Avery, North Carolina",0.0
90,"Avoyelles, Louisiana",0.0
91,"B, Oklahoma",0.0
92,"Bailey, Texas",0.0
93,"Baker county, Florida",0.0
94,"Baker, Florida",0.0
95,"Baker, Oregon",0.0
96,"Baldwin, Alabama",0.002874439461883408
97,"Ballard, Kentucky",0.0
98,"Baltimore city, Maryland",0.006956521739130435
99,"Baltimore, Maryland",0.0022580645161290325
100,"Bamberg, South Carolina",0.0
101,"Bandera, Texas",0.0
102,"Banner, Nebraska",0.0
103,"Bannock, Idaho",0.0
104,"Baraga, Michigan",0.0
105,"Barbour, Alabama",0.0
106,"Barbour, West Virginia",0.0
107,"Barnes, North Dakota",0.0
108,"Barnstable, Massachusetts",0.0
109,"Barnwell, South Carolina",0.0
110,"Barren, Kentucky",0.0
111,"Barron, Wisconsin",0.0
112,"Barry, Michigan",0.0
113,"Barry, Missouri",0.0
114,"Bartholomew, Indiana",0.0
115,"Barton, Missouri",0.0
116,"Bastrop, Texas",0.0
117,"Bates, Missouri",0.0
118,"Bath, Virginia",0.0
119,"Baxter, Arkansas",0.0
120,"Bay, Florida",0.0
121,"Bay, Michigan",0.0
122,"Bayfield, Wisconsin",0.0
123,"Baylor, Texas",0.0
124,"Beadle, South Dakota",0.0
125,"Bear lake, Idaho",0.0
126,"Beaufort, North Carolina",0.0
127,"Beaufort, South Carolina",0.0
128,"Beauregard, Louisiana",0.0
129,"Beaver county, Pennsylvania",0.0
130,"Beaver, Oklahoma",0.0
131,"Beaver, Pennsylvania",0.0
132,"Beaver, Utah",0.0
133,"Beaverhead, Montana",0.0
134,"Becker, Minnesota",0.0
135,"Beckham, Oklahoma",0.0
136,"Bedford, Pennsylvania",0.0
137,"Bedford, Virginia",0.0
138,"Bee, Texas",0.0
139,"Belknap, New Hampshire",0.0
140,"Bell, Kentucky",0.0
141,"Bell, Texas",0.0
142,"Belmont, Ohio",0.0
143,"Beltrami county, Minnesota",0.0
144,"Beltrami, Minnesota",0.0
145,"Benewah, Idaho",0.0
146,"Bennett, South Dakota",0.0
147,"Bennington, Vermont",0.0
148,"Benson, North Dakota",0.0
149,"Benton county, Arkansas",0.0
150,"Benton, Arkansas",0.0
151,"Benton, Indiana",0.0
152,"Benton, Iowa",0.0
153,"Benton, Minnesota",0.0
154,"Benton, Missouri",0.0
155,"Benton, Oregon",0.0
156,"Benton, Washington",0.0
157,"Benzie, Michigan",0.0
158,"Bergen, New Jersey",0.0
159,"Berkeley, South Carolina",0.0
160,"Berkeley, West Virginia",0.0
161,"Berks county, Pennsylvania",0.0
162,"Berks, Pennsylvania",0.0016717391304347823
163,"Berkshire, Massachusetts",0.0
164,"Bernalillo, New Mexico",0.00037551020408163263
165,"Berrien, Michigan",0.0
166,"Bertie, North Carolina",0.0008050847457627119
167,"Bexar, Texas",0.00017699115044247788
168,"Bibb, Alabama",0.0
169,"Bienville, Louisiana",0.0
170,"Big horn, Montana",0.0
171,"Big horn, Wyoming",0.05228571428571429
172,"Big stone, Minnesota",0.0
173,"Bingham, Idaho",0.0
174,"Black hawk, Iowa",0.0
175,"Blackford, Indiana",0.0
176,"Bladen, North Carolina",0.0
177,"Blaine, Idaho",0.0
178,"Blaine, Montana",0.0
179,"Blaine, Nebraska",0.0
180,"Blaine, Oklahoma",0.0
181,"Blair, Pennsylvania",0.0
182,"Blanco, Texas",0.0022222222222222222
183,"Bland, Virginia",0.0
184,"Blount, Alabama",0.0
185,"Blue earth, Minnesota",0.0
186,"Boise, Idaho",0.0
187,"Bollinger, Missouri",0.0
188,"Bon homme, South Dakota",0.0
189,"Bond, Illinois",0.0
190,"Bonner, Idaho",0.0
191,"Bonneville, Idaho",0.0
192,"Boone, Arkansas",0.0
193,"Boone, Illinois",0.0
194,"Boone, Indiana",0.0
195,"Boone, Iowa",0.0
196,"Boone, Kentucky",0.0025
197,"Boone, Missouri",0.0
198,"Boone, Nebraska",0.0
199,"Boone, West Virginia",0.0
200,"Bosque, Texas",0.0
201,"Bossier, Louisiana",0.0
202,"Botetourt, Virginia",0.0
203,"Bottineau, North Dakota",0.0
204,"Boundary, Idaho",0.0
205,"Bourbon, Kentucky",0.0
206,"Bowie, Texas",0.0
207,"Bowman, North Dakota",0.0
208,"Box butte, Nebraska",0.0
209,"Box elder, Utah",0.0
210,"Boyd, Kentucky",0.0
211,"Boyd, Nebraska",0.0
212,"Boyle, Kentucky",0.0
213,"Bracken, Kentucky",0.0
214,"Bradford, Florida",0.0
215,"Bradford, Pennsylvania",0.0
216,"Bradley, Arkansas",0.0
217,"Branch, Michigan",0.0
218,"Braxton, West Virginia",0.0
219,"Brazoria, Texas",0.0
220,"Brazos, Texas",0.0
221,"Breathitt, Kentucky",0.0
222,"Breckinridge, Kentucky",0.0
223,"Bremer, Iowa",0.0
224,"Brevard, Florida",9.782608695652173e-05
225,"Brewster, Texas",0.0
226,"Briscoe, Texas",0.0
227,"Bristol, Massachusetts",0.0
228,"Bristol, Rhode Island",0.0
229,"Bristol, Virginia",0.0
230,"Broadwater, Montana",0.0
231,"Brooke, West Virginia",0.0
232,"Brookings, South Dakota",0.0
233,"Brooks, Texas",0.0
234,"Broome, New York",0.005555555555555556
235,"Broward county, Florida",0.0
236,"Broward, Florida",0.0004945454545454545
237,"Brown, Illinois",0.0
238,"Brown, Indiana",0.0
239,"Brown, Minnesota",0.0
240,"Brown, Nebraska",0.0
241,"Brown, Ohio",0.0
242,"Brown, South Dakota",0.0
243,"Brown, Texas",0.0
244,"Brown, Wisconsin",0.0
245,"Brule, South Dakota",0.0
246,"Brunswick, North Carolina",0.0
247,"Brunswick, Virginia",0.0
248,"Bryan, Oklahoma",0.0
249,"Buchanan, Iowa",0.0
250,"Buchanan, Virginia",0.0
251,"Buckingham, Virginia",0.0
252,"Bucks county, Pennsylvania",0.0
253,"Bucks, Pennsylvania",0.00010810810810810811
254,"Buena vista, Iowa",0.0
255,"Buena vista, Virginia",0.0
256,"Buffalo, Nebraska",0.014294117647058823
257,"Buffalo, Wisconsin",0.0
258,"Bullock, Alabama",0.0
259,"Buncombe, North Carolina",0.0
260,"Bureau, Illinois",0.0
261,"Burke, North Carolina",0.0
262,"Burke, North Dakota",0.0
263,"Burleigh, North Dakota",0.0
264,"Burleson, Texas",0.0
265,"Burlington, New Jersey",0.0
266,"Burnet, Texas",0.0
267,"Burnett, Wisconsin",0.0
268,"Burt, Nebraska",0.0
269,"Butler, Alabama",0.0
270,"Butler, Iowa",0.0
271,"Butler, Kentucky",0.0
272,"Butler, Missouri",0.0
273,"Butler, Nebraska",0.0
274,"Butler, Ohio",0.0
275,"Butler, Pennsylvania",0.0
276,"Butte, California",0.0
277,"Butte, Idaho",0.0044444444444444444
278,"Butte, South Dakota",0.0
279,"Cabarrus, North Carolina",0.0014754098360655738
280,"Cabell, West Virginia",0.0
281,"Cache, Utah",0.0
282,"Caddo parish, Louisiana",0.0
283,"Caddo, Louisiana",0.0
284,"Caddo, Oklahoma",0.0
285,"Calaveras, California",0.0
286,"Calcasieu, Louisiana",0.017258687258687257
287,"Caldwell, Kentucky",0.0
288,"Caldwell, Louisiana",0.0
289,"Caldwell, Missouri",0.0
290,"Caldwell, North Carolina",0.0
291,"Caldwell, Texas",0.0
292,"Caledonia, Vermont",0.0
293,"Calhoun, Alabama",0.0
294,"Calhoun, Arkansas",0.0
295,"Calhoun, Florida",0.0
296,"Calhoun, Illinois",0.0
297,"Calhoun, Iowa",0.0
298,"Calhoun, Michigan",0.0
299,"Calhoun, South Carolina",0.0
300,"Calhoun, Texas",0.0
301,"Callahan, Texas",0.0
302,"Callaway, Missouri",0.0
303,"Calloway, Kentucky",0.0
304,"Calumet, Wisconsin",0.0
305,"Calvert, Maryland",0.009855072463768117
306,"Cambria county, Pennsylvania",0.0
307,"Cambria, Pennsylvania",0.0
308,"Camden, Missouri",0.0
309,"Camden, New Jersey",0.034
310,"Camden, North Carolina",0.0
311,"Cameron, Louisiana",0.0
312,"Cameron, Pennsylvania",0.0
313,"Cameron, Texas",0.0
314,"Camp, Texas",0.0
315,"Campbell, Kentucky",0.0
316,"Campbell, Virginia",0.0
317,"Campbell, Wyoming",0.0
318,"Canadian, Oklahoma",0.0
319,"Canyon, Idaho",0.0
320,"Cape girardeau, Missouri",0.0
321,"Cape may, New Jersey",0.0
322,"Carbon, Montana",0.0016129032258064516
323,"Carbon, Pennsylvania",0.0
324,"Carbon, Utah",0.0
325,"Carbon, Wyoming",0.0
326,"Caribou, Idaho",0.0
327,"Carlisle, Kentucky",0.0
328,"Carlton, Minnesota",0.0
329,"Caroline, Maryland",0.011052631578947368
330,"Carroll, Arkansas",0.0
331,"Carroll, Illinois",0.0
332,"Carroll, Indiana",0.0
333,"Carroll, Iowa",0.0
334,"Carroll, Kentucky",0.0
335,"Carroll, Maryland",0.002428571428571429
336,"Carroll, Missouri",0.0
337,"Carroll, New Hampshire",0.0
338,"Carroll, Virginia",0.0
339,"Carson city, Nevada",0.0
340,"Carson, Texas",0.0
341,"Carter, Kentucky",0.0
342,"Carter, Missouri",0.0
343,"Carter, Montana",0.0
344,"Carter, Oklahoma",0.0
345,"Carteret, North Carolina",0.0002
346,"Carver, Minnesota",0.0
347,"Cascade, Montana",0.0
348,"Casey, Kentucky",0.0
349,"Cass, Illinois",0.0
350,"Cass, Indiana",0.0
351,"Cass, Iowa",0.0
352,"Cass, Michigan",0.0
353,"Cass, Minnesota",0.0
354,"Cass, Missouri",0.0
355,"Cass, Nebraska",0.0
356,"Cass, North Dakota",0.0
357,"Cass, Texas",0.0
358,"Cassia, Idaho",0.0
359,"Castro, Texas",0.0
360,"Caswell, North Carolina",0.0
361,"Catahoula, Louisiana",0.0
362,"Catawba, North Carolina",0.0
363,"Catron, New Mexico",0.0
364,"Cattaraugus, New York",0.0
365,"Cavalier, North Dakota",0.0
366,"Cayuga county, New York",0.0
367,"Cayuga, New York",0.0
368,"Cecil, Maryland",0.00881578947368421
369,"Cedar, Iowa",0.0
370,"Cedar, Missouri",0.0
371,"Cedar, Nebraska",0.0
372,"Centre county, Pennsylvania",0.0
373,"Centre, Pennsylvania",0.0
374,"Cerro gordo, Iowa",0.0
375,"Chambers, Alabama",0.0
376,"Chambers, Texas",0.0
377,"Champaign, Illinois",0.0
378,"Champaign, Ohio",0.0
379,"Chariton, Missouri",0.0
380,"Charles mix, South Dakota",0.0
381,"Charles, Maryland",0.0006578947368421052
382,"Charleston county, South Carolina",0.0
383,"Charleston, South Carolina",0.0
384,"Charlevoix, Michigan",0.0
385,"Charlotte, Florida",0.0
386,"Charlotte, Virginia",0.0
387,"Chase, Nebraska",0.0
388,"Chatham, North Carolina",0.0
389,"Chautauqua, New York",0.0
390,"Chaves, New Mexico",0.0
391,"Cheboygan, Michigan",0.0
392,"Chelan, Washington",0.0
393,"Chemung, New York",0.0
394,"Chenango, New York",0.0
395,"Cherokee, Alabama",0.0
396,"Cherokee, Iowa",0.0
397,"Cherokee, North Carolina",0.0
398,"Cherokee, South Carolina",0.0
399,"Cherokee, Texas",0.0
400,"Cherry, Nebraska",0.0
401,"Chesapeake city, Virginia",0.0
402,"Cheshire, New Hampshire",0.0
403,"Chester county, Pennsylvania",0.0
404,"Chester, Pennsylvania",0.0
405,"Chester, South Carolina",0.0
406,"Chesterfield, South Carolina",0.0
407,"Chesterfield, Virginia",0.0
408,"Cheyenne, Nebraska",0.0
409,"Chickasaw, Iowa",0.0
410,"Chicot, Arkansas",0.0
411,"Chilton, Alabama",0.0
412,"Chippewa, Michigan",0.0
413,"Chippewa, Minnesota",0.0
414,"Chippewa, Wisconsin",0.0
415,"Chisago, Minnesota",0.0
416,"Chittenden, Vermont",0.0
417,"Choctaw, Alabama",0.0
418,"Choctaw, Oklahoma",0.0
419,"Chouteau, Montana",0.0
420,"Chowan, North Carolina",0.0
421,"Christian, Illinois",0.0
422,"Christian, Kentucky",0.0
423,"Christian, Missouri",0.0
424,"Churchill, Nevada",0.0
425,"Cibola, New Mexico",0.0
426,"Cimarron, Oklahoma",0.0
427,"Citrus county, Florida",0.0
428,"Citrus, Florida",0.0
429,"Clackamas, Oregon",0.0
430,"Claiborne, Louisiana",0.043250000000000004
431,"Clallam, Washington",0.0
432,"Clare, Michigan",0.0
433,"Clarendon, South Carolina",0.0
434,"Clarion, Pennsylvania",0.0
435,"Clark county, Nevada",0.0
436,"Clark, Arkansas",0.0
437,"Clark, Idaho",0.0
438,"Clark, Illinois",0.0
439,"Clark, Indiana",0.0
440,"Clark, Kentucky",0.0
441,"Clark, Missouri",0.0
442,"Clark, Nevada",0.0
443,"Clark, Ohio",0.0
444,"Clark, South Dakota",0.0
445,"Clark, Washington",0.0
446,"Clark, Wisconsin",0.0
447,"Clarke, Alabama",0.0
448,"Clarke, Iowa",0.0
449,"Clarke, Virginia",0.0
450,"Clatsop, Oregon",0.0
451,"Clay, Alabama",0.0
452,"Clay, Arkansas",0.0
453,"Clay, Florida",0.0
454,"Clay, Illinois",0.0
455,"Clay, Indiana",0.0
456,"Clay, Iowa",0.0
457,"Clay, Kentucky",0.01
458,"Clay, Minnesota",0.0
459,"Clay, Missouri",0.0
460,"Clay, Nebraska",0.0
461,"Clay, North Carolina",0.0
462,"Clay, South Dakota",0.0
463,"Clay, Texas",0.0
464,"Clay, West Virginia",0.0
465,"Clayton, Iowa",0.0
466,"Clearfield county, Pennsylvania",0.0
467,"Clearfield, Pennsylvania",0.0
468,"Clearwater, Idaho",0.0
469,"Clearwater, Minnesota",0.0
470,"Cleburne, Alabama",0.0
471,"Cleburne, Arkansas",0.0
472,"Clermont, Ohio",0.0
473,"Cleveland, Arkansas",0.0
474,"Cleveland, North Carolina",0.0
475,"Cleveland, Oklahoma",0.0
476,"Clinton, Illinois",0.0
477,"Clinton, Indiana",0.0
478,"Clinton, Iowa",0.0
479,"Clinton, Kentucky",0.0
480,"Clinton, Michigan",0.0
481,"Clinton, Missouri",0.0
482,"Clinton, New York",0.0
483,"Clinton, Pennsylvania",0.0
484,"Cochise, Arizona",0.00031847133757961787
485,"Cochran, Texas",0.0
486,"Coconino, Arizona",0.0
487,"Codington, South Dakota",0.1305
488,"Coffee, Alabama",0.0
489,"Coke, Texas",0.0
490,"Colbert, Alabama",0.0
491,"Cole, Missouri",0.0
492,"Coleman, Texas",0.0
493,"Coles, Illinois",0.0
494,"Colfax, Nebraska",0.0
495,"Colfax, New Mexico",0.0
496,"Colleton, South Carolina",0.0
497,"Collier, Florida",0.0
498,"Collin, Texas",0.0
499,"Collingsworth, Texas",0.0
500,"Colorado, Texas",0.0
501,"Columbia, Arkansas",0.0
502,"Columbia, Florida",0.0
503,"Columbia, New York",0.0
504,"Columbia, Oregon",0.0
505,"Columbia, Pennsylvania",0.0
506,"Columbia, Washington",0.0
507,"Columbia, Wisconsin",0.0
508,"Columbiana, Ohio",0.0
509,"Columbus county, North Carolina",0.0
510,"Columbus, North Carolina",0.004188034188034188
511,"Colusa, California",0.0
512,"Comal, Texas",0.0
513,"Comanche, Oklahoma",0.0
514,"Comanche, Texas",0.0
515,"Concho, Texas",0.0
516,"Concordia, Louisiana",0.0
517,"Conecuh, Alabama",0.0
518,"Contra costa, California",0.0
519,"Converse, Wyoming",0.0
520,"Conway, Arkansas",0.0
521,"Cook, Illinois",0.0
522,"Cook, Minnesota",0.0
523,"Cooke, Texas",0.0
524,"Cooper, Missouri",0.0
525,"Coos, New Hampshire",0.0
526,"Coos, Oregon",0.0
527,"Coosa, Alabama",0.0
528,"Corson, South Dakota",0.0
529,"Cortland, New York",0.0
530,"Coryell, Texas",0.0
531,"Coshocton, Ohio",0.0
532,"Cottle, Texas",0.0
533,"Cotton, Oklahoma",0.0
534,"Cottonwood, Minnesota",0.0
535,"Covington, Alabama",0.0
536,"Covington, Virginia",0.0
537,"Cowlitz, Washington",0.0
538,"Craig, Oklahoma",0.0
539,"Craighead, Arkansas",0.0
540,"Crane, Texas",0.0
541,"Craven, North Carolina",0.0
542,"Crawford county, Pennsylvania",0.0
543,"Crawford, Arkansas",0.0
544,"Crawford, Illinois",0.0
545,"Crawford, Indiana",0.0
546,"Crawford, Iowa",0.0
547,"Crawford, Michigan",0.0
548,"Crawford, Missouri",0.0
549,"Crawford, Pennsylvania",0.0
550,"Crawford, Wisconsin",0.0
551,"Creek, Oklahoma",0.0
552,"Crenshaw, Alabama",0.0
553,"Crittenden, Arkansas",0.0
554,"Crittenden, Kentucky",0.0
555,"Crockett, Texas",0.0
556,"Crook, Oregon",0.0
557,"Crook, Wyoming",0.0
558,"Crosby, Texas",0.0
559,"Cross, Arkansas",0.0
560,"Crow wing, Minnesota",0.0
561,"Culberson, Texas",0.0
562,"Cullman, Alabama",0.0
563,"Culpeper, Virginia",0.0
564,"Cumberland county, Pennsylvania",0.0
565,"Cumberland, Illinois",0.0
566,"Cumberland, Kentucky",0.0
567,"Cumberland, Maine",0.0
568,"Cumberland, New Jersey",0.0
569,"Cumberland, North Carolina",0.0
570,"Cumberland, Pennsylvania",0.0
571,"Cumberland, Virginia",0.0
572,"Cuming, Nebraska",0.0
573,"Currituck, North Carolina",0.0
574,"Curry, New Mexico",0.013038461538461539
575,"Curry, Oregon",0.0
576,"Custer, Idaho",0.0
577,"Custer, Montana",0.0
578,"Custer, Nebraska",0.0
579,"Custer, Oklahoma",0.0
580,"Custer, South Dakota",0.0
581,"Cuyahoga, Ohio",0.0
582,"Dade, Florida",0.0
583,"Dade, Missouri",0.0
584,"Daggett, Utah",0.0
585,"Dakota, Minnesota",0.0
586,"Dakota, Nebraska",0.061399999999999996
587,"Dale, Alabama",0.0
588,"Dallam, Texas",0.0
589,"Dallas, Alabama",0.0
590,"Dallas, Arkansas",0.0
591,"Dallas, Iowa",0.0
592,"Dallas, Missouri",0.0
593,"Dallas, Texas",0.0
594,"Dane, Wisconsin",0.0
595,"Daniels, Montana",0.0
596,"Danville, Virginia",0.0
597,"Dare, North Carolina",0.0
598,"Darlington, South Carolina",0.0
599,"Dauphin county, Pennsylvania",0.0
600,"Dauphin, Pennsylvania",0.0
601,"Davidson, North Carolina",0.0
602,"Davie, North Carolina",0.0
603,"Daviess, Indiana",0.0
604,"Daviess, Kentucky",0.0
605,"Daviess, Missouri",0.0
606,"Davis, Iowa",0.0
607,"Davis, Utah",0.0
608,"Dawes, Nebraska",0.0
609,"Dawson, Montana",0.0
610,"Dawson, Nebraska",0.0
611,"Dawson, Texas",0.0
612,"Day, South Dakota",0.0
613,"De baca, New Mexico",0.0
614,"De kalb, Indiana",0.0
615,"De kalb, Missouri",0.0
616,"De soto, Florida",0.0
617,"De soto, Louisiana",0.0
618,"De witt, Illinois",0.0
619,"Deaf smith, Texas",0.0
620,"Dearborn, Indiana",0.0
621,"Decatur, Indiana",0.0
622,"Decatur, Iowa",0.0
623,"Deer lodge, Montana",0.0
624,"Defiance, Ohio",0.0
625,"Dekalb, Alabama",0.0
626,"Dekalb, Illinois",0.0
627,"Dekalb, Indiana",0.0
628,"Dekalb, Missouri",0.0
629,"Delaware, Indiana",0.0
630,"Delaware, Iowa",0.0
631,"Delaware, New York",0.0
632,"Delaware, Ohio",0.0
633,"Delaware, Pennsylvania",0.0
634,"Delta, Michigan",0.0
635,"Delta, Texas",0.0
636,"Dent, Missouri",0.0
637,"Denton, Texas",0.0
638,"Des moines, Iowa",0.0
639,"Deschutes, Oregon",0.0
640,"Desha, Arkansas",0.0
641,"Desoto, Florida",0.0
642,"Deuel, Nebraska",0.0
643,"Dewey, Oklahoma",0.0
644,"Dewey, South Dakota",0.0
645,"Dewitt, Texas",0.0
646,"Dickens, Texas",0.0
647,"Dickey, North Dakota",0.0
648,"Dickinson, Iowa",0.0
649,"Dickinson, Michigan",0.0
650,"Dillon, South Carolina",0.0
651,"Dimmit, Texas",0.0
652,"Dinwiddie, Virginia",0.0
653,"District of columbia, District of Columbia",0.0
654,"Dixie, Florida",0.0
655,"Dixon, Nebraska",0.0
656,"Doddridge, West Virginia",0.0
657,"Dodge, Minnesota",0.0
658,"Dodge, Nebraska",0.006979999999999999
659,"Dodge, Wisconsin",0.0
660,"Dona ana, New Mexico",0.08936909871244633
661,"Donley, Texas",0.0
662,"Door, Wisconsin",0.0
663,"Dorchester, Maryland",0.0
664,"Dorchester, South Carolina",0.0
665,"Douglas, Illinois",0.0
