,county,antimony
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.004761904761904762
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adair, Oklahoma",0.0
8,"Adams, Idaho",0.0
9,"Adams, Illinois",0.0
10,"Adams, Indiana",0.0
11,"Adams, Nebraska",0.0
12,"Adams, Ohio",0.0
13,"Adams, Pennsylvania",0.0
14,"Adams, Washington",0.0
15,"Adams, Wisconsin",0.0
16,"Addison, Vermont",0.07894736842105263
17,"Aiken, South Carolina",0.04804469273743017
18,"Aitkin, Minnesota",0.0
19,"Alachua, Florida",0.3258620689655173
20,"Alamance, North Carolina",0.027777777777777776
21,"Alameda, California",0.0
22,"Albany, New York",0.0
23,"Albany, Wyoming",0.0
24,"Albemarle, Virginia",0.0
25,"Alcona, Michigan",0.0
26,"Aleutians east borough, Alaska",0.0
27,"Aleutians east, Alaska",0.0
28,"Aleutians west census area, Alaska",0.0
29,"Aleutians west, Alaska",0.0
30,"Alexander, Illinois",0.0
31,"Alexander, North Carolina",1.085
32,"Alfalfa, Oklahoma",0.0
33,"Alger, Michigan",0.0
34,"Allamakee, Iowa",0.0
35,"Allegan, Michigan",0.02040816326530612
36,"Allegany, Maryland",0.13333333333333333
37,"Allegany, New York",0.0
38,"Alleghany, North Carolina",0.0
39,"Alleghany, Virginia",0.0
40,"Allegheny county, Pennsylvania",0.0
41,"Allegheny, Pennsylvania",0.0
42,"Allen, Indiana",0.09574468085106383
43,"Allen, Kansas",0.0
44,"Allen, Kentucky",0.0
45,"Allen, Louisiana",0.0
46,"Allen, Ohio",0.0
47,"Allendale, South Carolina",0.0
48,"Alpena, Michigan",0.0
49,"Alpine, California",0.0
50,"Amador, California",0.0
51,"Amelia, Virginia",0.0
52,"American samoa, American Samoa",0.0
53,"Amherst, Virginia",0.009090909090909092
54,"Anchorage, Alaska",0.11394230769230769
55,"Anderson, Kansas",0.0
56,"Anderson, Kentucky",0.0
57,"Anderson, South Carolina",0.09375
58,"Anderson, Tennessee",0.0
59,"Anderson, Texas",0.0348
60,"Andrew, Missouri",0.0
61,"Andrews, Texas",0.0
62,"Androscoggin, Maine",0.010180180180180179
63,"Angelina, Texas",0.1086
64,"Anne arundel, Maryland",0.04810126582278481
65,"Anoka, Minnesota",0.01505263157894737
66,"Anson, North Carolina",0.0
67,"Antelope, Nebraska",0.0
68,"Antrim, Michigan",0.0
69,"Apache, Arizona",0.12878787878787878
70,"Appomattox, Virginia",0.0
71,"Aransas, Texas",0.0
72,"Archer, Texas",0.3013333333333333
73,"Arenac, Michigan",0.3
74,"Arkansas, Arkansas",0.0
75,"Armstrong, Pennsylvania",0.0
76,"Armstrong, Texas",0.0
77,"Aroostook, Maine",0.07693069306930693
78,"Arthur, Nebraska",0.0
79,"Ascension, Louisiana",0.042222222222222223
80,"Ashe, North Carolina",0.058823529411764705
81,"Ashland, Ohio",0.0
82,"Ashland, Wisconsin",0.023333333333333334
83,"Ashley, Arkansas",0.0
84,"Ashtabula, Ohio",0.0
85,"Asotin, Washington",0.0
86,"Assumption, Louisiana",0.0
87,"Atascosa county, Texas",0.0
88,"Atascosa, Texas",0.09503448275862068
89,"Atchison, Kansas",0.0
90,"Atchison, Missouri",0.0
91,"Athens, Ohio",0.0
92,"Atlantic, New Jersey",0.0
93,"Atoka, Oklahoma",0.0
94,"Audrain, Missouri",0.0
95,"Auglaize, Ohio",0.4782608695652174
96,"Augusta, Virginia",0.0
97,"Austin, Texas",0.0
98,"Autauga, Alabama",0.0
99,"Avery, North Carolina",0.0
100,"Avoyelles, Louisiana",0.015384615384615385
101,"B, Oklahoma",0.0
102,"Bailey, Texas",0.0
103,"Baker county, Florida",0.1
104,"Baker, Florida",0.03333333333333334
105,"Baker, Oregon",0.0
106,"Baldwin, Alabama",0.0
107,"Ballard, Kentucky",0.0
108,"Baltimore, Maryland",0.0
109,"Bamberg, South Carolina",0.0
110,"Bandera, Texas",0.02694444444444444
111,"Banner, Nebraska",0.0
112,"Bannock, Idaho",0.0
113,"Baraga, Michigan",0.0
114,"Barber, Kansas",0.0
115,"Barbour, Alabama",0.06448275862068965
116,"Barbour, West Virginia",0.024999999999999998
117,"Barnes, North Dakota",0.0
118,"Barnstable, Massachusetts",0.006688963210702341
119,"Barnwell, South Carolina",0.0
120,"Barren, Kentucky",0.0
121,"Barron, Wisconsin",0.0035064935064935067
122,"Barry, Michigan",0.0
123,"Barry, Missouri",0.0
124,"Bartholomew, Indiana",0.0
125,"Barton, Kansas",0.0
126,"Barton, Missouri",0.0
127,"Bastrop, Texas",0.0
128,"Bates, Missouri",0.0
129,"Bath, Virginia",0.0
130,"Baxter, Arkansas",0.08139534883720931
131,"Bay, Florida",0.004545454545454546
132,"Bay, Michigan",0.0
133,"Bayfield, Wisconsin",0.0
134,"Baylor, Texas",0.0
135,"Beadle, South Dakota",0.0
136,"Bear lake, Idaho",0.0
137,"Beaufort, North Carolina",0.0
138,"Beaufort, South Carolina",0.0
139,"Beauregard, Louisiana",0.0
140,"Beaver, Oklahoma",0.0
141,"Beaver, Pennsylvania",0.0
142,"Beaver, Utah",0.014285714285714285
143,"Beaverhead, Montana",0.2727272727272727
144,"Becker, Minnesota",0.0
145,"Beckham, Oklahoma",0.0
146,"Bedford county, Pennsylvania",0.0
147,"Bedford, Pennsylvania",0.0
148,"Bedford, Tennessee",0.0
149,"Bedford, Virginia",0.002325581395348837
150,"Bee, Texas",0.024133333333333336
151,"Belknap, New Hampshire",0.052845528455284556
152,"Bell, Kentucky",0.0
153,"Bell, Texas",0.0
154,"Belmont, Ohio",0.0
155,"Beltrami county, Minnesota",0.0
156,"Beltrami, Minnesota",0.0
157,"Benewah, Idaho",0.0
158,"Bennett, South Dakota",0.0
159,"Bennington, Vermont",0.0
160,"Benson, North Dakota",0.0
161,"Benton county, Arkansas",0.0
162,"Benton, Arkansas",0.0
163,"Benton, Indiana",0.0
164,"Benton, Iowa",0.2111111111111111
165,"Benton, Minnesota",0.0
166,"Benton, Missouri",0.011170212765957447
167,"Benton, Oregon",0.0
168,"Benton, Tennessee",0.0
169,"Benton, Washington",0.3013422818791946
170,"Benzie, Michigan",0.1111111111111111
171,"Bergen, New Jersey",0.01569506726457399
172,"Berkeley, South Carolina",0.0
173,"Berkeley, West Virginia",0.02948717948717949
174,"Berks county, Pennsylvania",0.0
175,"Berks, Pennsylvania",0.05660377358490566
176,"Berkshire, Massachusetts",0.0
177,"Bernalillo, New Mexico",0.1075570512820513
178,"Berrien, Michigan",0.03255813953488372
179,"Bertie, North Carolina",0.0
180,"Bethel census area, Alaska",0.0
181,"Bethel, Alaska",0.03956666666666667
182,"Bexar, Texas",0.03456716417910448
183,"Bibb, Alabama",0.0
184,"Bienville, Louisiana",0.04477611940298507
185,"Big horn, Montana",0.03571428571428571
186,"Big horn, Wyoming",0.0
187,"Big stone, Minnesota",0.0
188,"Billings, North Dakota",0.0
189,"Bingham, Idaho",0.002173913043478261
190,"Black hawk, Iowa",0.0
191,"Blackford, Indiana",0.0
192,"Bladen, North Carolina",0.0
193,"Blaine, Idaho",0.0
194,"Blaine, Montana",0.0
195,"Blaine, Nebraska",0.0
196,"Blaine, Oklahoma",0.0
197,"Blair, Pennsylvania",0.0
198,"Blanco, Texas",0.0
199,"Bland, Virginia",0.0
200,"Bledsoe, Tennessee",0.0
201,"Blount, Alabama",0.0
202,"Blount, Tennessee",0.0
203,"Blue earth, Minnesota",0.0
204,"Boise, Idaho",0.0
205,"Bollinger, Missouri",0.0
206,"Bon homme, South Dakota",0.15
207,"Bond, Illinois",0.0
208,"Bonner, Idaho",0.0
209,"Bonneville, Idaho",0.0
210,"Boone, Arkansas",0.0
211,"Boone, Illinois",0.0
212,"Boone, Indiana",0.03636363636363637
213,"Boone, Kentucky",0.0
214,"Boone, Missouri",0.01506329113924051
215,"Boone, Nebraska",0.0
216,"Boone, West Virginia",0.0
217,"Bosque, Texas",0.0
218,"Bossier, Louisiana",0.028915662650602407
219,"Botetourt, Virginia",0.04294871794871795
220,"Bottineau, North Dakota",0.0
221,"Boundary, Idaho",0.0
222,"Bourbon, Kansas",0.0
223,"Bourbon, Kentucky",0.16666666666666666
224,"Bowie, Texas",0.07808333333333332
225,"Bowman, North Dakota",0.0
226,"Box butte, Nebraska",0.0
227,"Box elder, Utah",0.09098712446351931
228,"Boyd, Kentucky",0.0
229,"Boyd, Nebraska",0.0
230,"Boyle, Kentucky",0.0
231,"Bracken, Kentucky",0.0
232,"Bradford, Florida",0.15
233,"Bradford, Pennsylvania",0.024489795918367346
234,"Bradley, Arkansas",0.0
235,"Bradley, Tennessee",0.0
236,"Branch, Michigan",0.0
237,"Braxton, West Virginia",0.013043478260869565
238,"Brazoria, Texas",0.002778975741239892
239,"Brazos, Texas",0.0
240,"Breathitt, Kentucky",0.0
241,"Breckinridge, Kentucky",0.0
242,"Bremer, Iowa",0.0
243,"Brevard, Florida",0.14375000000000002
244,"Brewster, Texas",0.0
245,"Briscoe, Texas",0.0
246,"Bristol bay, Alaska",0.0
247,"Bristol, Massachusetts",0.007586206896551725
248,"Bristol, Rhode Island",0.0
249,"Bristol, Virginia",0.0
250,"Broadwater, Montana",0.0
251,"Brooke, West Virginia",0.028571428571428574
252,"Brookings, South Dakota",0.12000000000000002
253,"Brooks, Texas",0.0
254,"Broome, New York",0.0691919191919192
255,"Broward county, Florida",0.0
256,"Broward, Florida",0.13850267379679146
257,"Brown, Illinois",0.0
258,"Brown, Indiana",0.0
259,"Brown, Kansas",0.0
260,"Brown, Minnesota",0.0
261,"Brown, Nebraska",0.0
262,"Brown, Ohio",0.0
263,"Brown, South Dakota",0.12222222222222223
264,"Brown, Texas",0.0
265,"Brown, Wisconsin",0.007605633802816902
266,"Brule, South Dakota",0.3
267,"Brunswick, North Carolina",0.0
268,"Brunswick, Virginia",0.0
269,"Bryan, Oklahoma",0.05416666666666667
270,"Buchanan, Iowa",0.0
271,"Buchanan, Virginia",0.0
272,"Buckingham, Virginia",0.0
273,"Bucks county, Pennsylvania",0.0
274,"Bucks, Pennsylvania",0.009363057324840766
275,"Buena vista, Iowa",0.0
276,"Buena vista, Virginia",0.0
277,"Buffalo, Nebraska",0.0
278,"Buffalo, Wisconsin",0.0
279,"Bullock, Alabama",0.0
280,"Buncombe, North Carolina",0.0
281,"Bureau, Illinois",0.0
282,"Burke, North Carolina",0.0
283,"Burke, North Dakota",0.0
284,"Burleigh, North Dakota",0.0
285,"Burleson, Texas",0.0
286,"Burlington, New Jersey",0.019775308641975308
287,"Burnet, Texas",0.0
288,"Burnett, Wisconsin",0.0
289,"Burt, Nebraska",0.0
290,"Butler county, Pennsylvania",0.0
291,"Butler, Alabama",0.0
292,"Butler, Iowa",0.0
293,"Butler, Kansas",0.0
294,"Butler, Kentucky",0.0
295,"Butler, Missouri",0.0
296,"Butler, Nebraska",0.0
297,"Butler, Ohio",0.0
298,"Butler, Pennsylvania",0.0
299,"Butte, California",0.00564750957854406
300,"Butte, Idaho",0.0
301,"Butte, South Dakota",0.0
302,"Cabarrus, North Carolina",0.023622047244094488
303,"Cabell, West Virginia",0.0
304,"Cache, Utah",0.024390243902439025
305,"Caddo parish, Louisiana",0.0
306,"Caddo, Louisiana",0.015037593984962405
307,"Caddo, Oklahoma",0.0
308,"Calaveras, California",0.7674698795180723
309,"Calcasieu, Louisiana",0.004347826086956522
310,"Caldwell, Kentucky",0.0
311,"Caldwell, Louisiana",0.0
312,"Caldwell, Missouri",0.0
313,"Caldwell, North Carolina",0.0
314,"Caldwell, Texas",0.0
315,"Caledonia, Vermont",0.0
316,"Calhoun, Alabama",0.0
317,"Calhoun, Arkansas",0.0
318,"Calhoun, Florida",0.0
319,"Calhoun, Illinois",0.5
320,"Calhoun, Iowa",0.0
321,"Calhoun, Michigan",0.0
322,"Calhoun, South Carolina",0.0
323,"Calhoun, Texas",0.027473684210526317
324,"Calhoun, West Virginia",0.0
325,"Callahan, Texas",0.0
326,"Callaway, Missouri",0.0
327,"Calloway, Kentucky",0.0
328,"Calumet, Wisconsin",0.0014736842105263158
329,"Calvert, Maryland",0.08125
330,"Cambria county, Pennsylvania",0.0
331,"Cambria, Pennsylvania",0.0
332,"Camden, Missouri",0.005047619047619048
333,"Camden, New Jersey",0.0
334,"Camden, North Carolina",0.0
335,"Cameron, Louisiana",0.0
336,"Cameron, Pennsylvania",0.0
337,"Cameron, Texas",0.37169230769230766
338,"Camp, Texas",0.0
339,"Campbell, Kentucky",0.0
340,"Campbell, Tennessee",0.0
341,"Campbell, Virginia",0.0
342,"Campbell, Wyoming",0.0
343,"Canadian, Oklahoma",0.12083333333333333
344,"Cannon, Tennessee",0.0
345,"Canyon, Idaho",0.0
346,"Cape girardeau, Missouri",0.0
347,"Cape may, New Jersey",0.0006172839506172839
348,"Carbon county, Pennsylvania",0.0
349,"Carbon, Montana",0.0
350,"Carbon, Pennsylvania",0.03888888888888889
351,"Carbon, Utah",0.0
352,"Carbon, Wyoming",0.0
353,"Caribou, Idaho",0.043333333333333335
354,"Carlisle, Kentucky",0.0
355,"Carlton, Minnesota",0.0
356,"Caroline, Maryland",0.0
357,"Caroline, Virginia",0.03506493506493507
358,"Carroll, Arkansas",0.0
359,"Carroll, Illinois",0.0
360,"Carroll, Indiana",0.03571428571428571
361,"Carroll, Iowa",0.0
362,"Carroll, Kentucky",0.0
363,"Carroll, Maryland",0.0325
364,"Carroll, Missouri",0.0
365,"Carroll, New Hampshire",0.004419889502762431
366,"Carroll, Ohio",0.0
367,"Carroll, Tennessee",0.0
368,"Carroll, Virginia",0.0
369,"Carson city, Nevada",0.0
370,"Carson, Texas",0.0
371,"Carter, Kentucky",0.0
372,"Carter, Missouri",0.0
373,"Carter, Montana",0.0
374,"Carter, Oklahoma",0.0
375,"Carter, Tennessee",0.0
376,"Carteret, North Carolina",0.0
377,"Carver, Minnesota",0.0
378,"Cascade, Montana",0.0
379,"Casey, Kentucky",0.0
380,"Cass, Illinois",0.0
381,"Cass, Indiana",0.0
382,"Cass, Iowa",0.0
383,"Cass, Michigan",0.0
384,"Cass, Minnesota",0.0
385,"Cass, Missouri",0.0
386,"Cass, Nebraska",0.0
387,"Cass, North Dakota",0.0
388,"Cass, Texas",0.0
389,"Cassia, Idaho",0.11818181818181818
390,"Castro, Texas",0.0
391,"Caswell, North Carolina",0.0
392,"Catahoula, Louisiana",0.1
393,"Catawba, North Carolina",0.030323886639676115
394,"Catron, New Mexico",0.04323529411764706
395,"Cattaraugus, New York",0.020852713178294575
396,"Cavalier, North Dakota",0.0
397,"Cayuga county, New York",0.0
398,"Cayuga, New York",0.0
399,"Cecil, Maryland",0.6372549019607843
400,"Cedar, Iowa",0.0
401,"Cedar, Missouri",0.06333333333333334
402,"Cedar, Nebraska",0.9335999999999999
403,"Centre county, Pennsylvania",0.0
404,"Centre, Pennsylvania",0.0
405,"Cerro gordo, Iowa",0.0
406,"Chambers, Alabama",0.0
407,"Chambers, Texas",0.0
408,"Champaign, Illinois",0.0
409,"Champaign, Ohio",0.0
410,"Chariton, Missouri",0.0
411,"Charles city, Virginia",0.0
412,"Charles mix, South Dakota",0.3333333333333333
413,"Charles, Maryland",0.0
414,"Charleston county, South Carolina",0.0
415,"Charleston, South Carolina",0.0
416,"Charlevoix, Michigan",0.0
417,"Charlotte, Florida",0.0
418,"Charlotte, Virginia",0.0
419,"Chase, Kansas",0.0
420,"Chase, Nebraska",0.0
421,"Chatham, North Carolina",0.16666666666666666
422,"Chautauqua, Kansas",0.0
423,"Chautauqua, New York",0.0
424,"Chaves, New Mexico",0.0436
425,"Cheatham, Tennessee",0.0
426,"Cheboygan, Michigan",0.0
427,"Chelan, Washington",0.0
428,"Chemung, New York",0.0
429,"Chenango, New York",0.46242038216560505
430,"Cherokee, Alabama",0.0
431,"Cherokee, Iowa",0.0
432,"Cherokee, Kansas",0.0
433,"Cherokee, North Carolina",0.0
434,"Cherokee, Oklahoma",0.0
435,"Cherokee, South Carolina",0.0
436,"Cherokee, Texas",0.06728888888888888
437,"Cherry, Nebraska",0.0
438,"Chesapeake city, Virginia",0.02
439,"Chesapeake, Virginia",0.0
440,"Cheshire, New Hampshire",0.012558139534883722
441,"Chester county, Pennsylvania",0.0
442,"Chester, Pennsylvania",0.0
443,"Chester, South Carolina",0.0
444,"Chester, Tennessee",0.0
445,"Chesterfield, South Carolina",0.0
446,"Chesterfield, Virginia",0.0
447,"Cheyenne, Kansas",0.0
448,"Cheyenne, Nebraska",0.0
449,"Chickasaw, Iowa",0.0
450,"Chicot, Arkansas",0.0
451,"Chilton, Alabama",0.0
452,"Chippewa, Michigan",0.0
453,"Chippewa, Minnesota",0.0
454,"Chippewa, Wisconsin",0.004696969696969697
455,"Chisago, Minnesota",0.0
456,"Chittenden, Vermont",0.0
457,"Choctaw, Alabama",0.0
458,"Choctaw, Oklahoma",0.0
459,"Chouteau, Montana",0.0
460,"Chowan, North Carolina",0.0
461,"Christian, Illinois",0.2437037037037037
462,"Christian, Kentucky",0.0
463,"Christian, Missouri",0.00865546218487395
464,"Churchill, Nevada",0.0
465,"Cibola, New Mexico",0.05555555555555555
466,"Cimarron, Oklahoma",0.0
467,"Citrus county, Florida",0.0
468,"Citrus, Florida",0.17373737373737377
469,"Clackamas, Oregon",0.02108108108108108
470,"Claiborne, Louisiana",0.09433962264150944
471,"Claiborne, Tennessee",0.0
472,"Clallam, Washington",0.0
473,"Clare, Michigan",0.0
474,"Clarendon, South Carolina",0.0
475,"Clarion, Pennsylvania",0.0
476,"Clark, Arkansas",0.0
477,"Clark, Idaho",0.0
478,"Clark, Illinois",0.0
479,"Clark, Indiana",0.041666666666666664
480,"Clark, Kansas",0.0
481,"Clark, Kentucky",0.0
482,"Clark, Missouri",0.0
483,"Clark, Nevada",0.0046045197740113
484,"Clark, Ohio",0.0
485,"Clark, South Dakota",0.0
486,"Clark, Washington",0.0
487,"Clark, Wisconsin",0.0
488,"Clarke, Alabama",0.0
489,"Clarke, Virginia",0.0
490,"Clatsop, Oregon",0.004090909090909091
491,"Clay, Alabama",0.0
492,"Clay, Arkansas",0.0
493,"Clay, Florida",0.03577981651376147
494,"Clay, Illinois",0.0
495,"Clay, Indiana",0.33999999999999997
496,"Clay, Iowa",0.0
497,"Clay, Kansas",0.0
498,"Clay, Kentucky",0.0
499,"Clay, Minnesota",0.0
500,"Clay, Missouri",0.0
501,"Clay, Nebraska",0.0
502,"Clay, North Carolina",0.0
503,"Clay, South Dakota",0.0
504,"Clay, Tennessee",0.0
505,"Clay, Texas",0.1901
506,"Clay, West Virginia",0.0
507,"Clayton, Iowa",0.0
508,"Clearfield county, Pennsylvania",0.0
509,"Clearfield, Pennsylvania",0.16666666666666666
510,"Clearwater, Idaho",0.0
511,"Clearwater, Minnesota",0.0
512,"Cleburne, Alabama",0.0
513,"Cleburne, Arkansas",0.0
514,"Clermont, Ohio",0.0
515,"Cleveland, Arkansas",0.0
516,"Cleveland, North Carolina",0.0
517,"Cleveland, Oklahoma",0.010430107526881722
518,"Clinton, Illinois",0.0
519,"Clinton, Indiana",0.03333333333333333
520,"Clinton, Iowa",0.0
521,"Clinton, Kentucky",0.0
522,"Clinton, Michigan",0.0
523,"Clinton, Missouri",0.0
524,"Clinton, New York",0.00923076923076923
525,"Clinton, Ohio",0.0
526,"Clinton, Pennsylvania",0.0
527,"Cloud, Kansas",0.0
528,"Coal, Oklahoma",0.0
529,"Cochise, Arizona",0.0
530,"Cochran, Texas",0.0
531,"Cocke, Tennessee",0.0
532,"Coconino, Arizona",0.0
533,"Codington, South Dakota",0.0
534,"Coffee, Alabama",0.0
535,"Coffee, Tennessee",0.0
536,"Coffey, Kansas",0.0
537,"Coke, Texas",0.0
538,"Colbert, Alabama",0.0
539,"Cole, Missouri",0.032467532467532464
540,"Coleman, Texas",0.0
541,"Coles, Illinois",0.0
542,"Colfax, Nebraska",0.0
543,"Colfax, New Mexico",0.0
544,"Colleton, South Carolina",0.0
545,"Collier, Florida",0.18906250000000002
546,"Collin, Texas",0.02992105263157895
547,"Collingsworth, Texas",0.0
548,"Colorado, Texas",0.0
549,"Columbia county, Pennsylvania",0.0
550,"Columbia, Arkansas",0.0
551,"Columbia, Florida",0.02586206896551724
552,"Columbia, New York",0.0
553,"Columbia, Oregon",0.0
554,"Columbia, Pennsylvania",0.0
555,"Columbia, Washington",0.0
556,"Columbia, Wisconsin",0.002434782608695652
557,"Columbiana, Ohio",0.04411764705882353
558,"Columbus county, North Carolina",0.0
559,"Columbus, North Carolina",0.10810810810810811
560,"Colusa, California",0.0
561,"Comal, Texas",0.020445544554455446
562,"Comanche, Kansas",0.0
563,"Comanche, Oklahoma",0.0
564,"Comanche, Texas",0.14466666666666667
565,"Concho, Texas",0.0
566,"Concordia, Louisiana",0.0
567,"Conecuh, Alabama",0.0
568,"Contra costa, California",0.0
569,"Converse, Wyoming",0.0
570,"Conway, Arkansas",0.0
571,"Cook, Illinois",0.005314009661835749
572,"Cook, Minnesota",0.0
573,"Cooke, Texas",0.051340000000000004
574,"Cooper, Missouri",0.0
575,"Coos, New Hampshire",0.013636363636363636
576,"Coos, Oregon",0.1319047619047619
577,"Coosa, Alabama",0.0
578,"Corson, South Dakota",0.0
579,"Cortland, New York",0.0
580,"Coryell, Texas",0.0
581,"Coshocton, Ohio",0.0
582,"Cottle, Texas",0.0
583,"Cotton, Oklahoma",0.0
584,"Cottonwood county, Minnesota",0.0
585,"Cottonwood, Minnesota",0.0
586,"Covington, Alabama",0.0
587,"Covington, Virginia",0.0
588,"Cowley, Kansas",0.0
589,"Cowlitz, Washington",0.0
590,"Craig, Oklahoma",0.0
591,"Craig, Virginia",0.0
592,"Craighead, Arkansas",0.0
593,"Crane, Texas",0.0
594,"Craven, North Carolina",0.0
595,"Crawford county, Pennsylvania",0.0
596,"Crawford, Arkansas",0.0
597,"Crawford, Illinois",0.0
598,"Crawford, Indiana",0.0
599,"Crawford, Iowa",0.0
