,county,endrin
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.0
4,"Ada, Idaho",0.0
5,"Adair, Kentucky",0.0
6,"Adair, Missouri",0.0
7,"Adams, Idaho",0.0
8,"Adams, Illinois",0.002727272727272727
9,"Adams, Indiana",0.0
10,"Adams, Nebraska",0.0
11,"Adams, Pennsylvania",0.0
12,"Adams, Washington",0.0
13,"Adams, Wisconsin",0.0
14,"Addison, Vermont",0.0
15,"Aiken, South Carolina",0.0
16,"Aitkin, Minnesota",0.0
17,"Alachua, Florida",0.0
18,"Alamance, North Carolina",8.658008658008658e-05
19,"Alameda, California",0.0
20,"Albany, New York",0.0
21,"Albany, Wyoming",0.0
22,"Albemarle, Virginia",0.0
23,"Alcona, Michigan",0.0
24,"Alexander, Illinois",0.0
25,"Alexander, North Carolina",0.0
26,"Alfalfa, Oklahoma",0.0
27,"Alger, Michigan",0.0
28,"Allegan, Michigan",0.0
29,"Allegany, Maryland",0.0
30,"Allegany, New York",0.0
31,"Alleghany, North Carolina",0.0
32,"Alleghany, Virginia",0.0
33,"Allegheny county, Pennsylvania",0.0
34,"Allegheny, Pennsylvania",0.0
35,"Allen, Indiana",0.0
36,"Allen, Kansas",0.0
37,"Allen, Kentucky",0.0
38,"Allen, Louisiana",0.0
39,"Allendale, South Carolina",0.0
40,"Alpena, Michigan",0.0
41,"Alpine, California",0.0
42,"American samoa, American Samoa",0.0
43,"Amherst, Virginia",0.0
44,"Anderson, Kansas",0.0
45,"Anderson, Kentucky",0.0
46,"Anderson, South Carolina",0.0
47,"Anderson, Texas",0.0
48,"Andrew, Missouri",0.0
49,"Andrews, Texas",0.0
50,"Androscoggin, Maine",0.0
51,"Angelina, Texas",0.0
52,"Anne arundel, Maryland",0.0017431192660550458
53,"Anoka, Minnesota",0.0
54,"Anson, North Carolina",0.0
55,"Antelope, Nebraska",0.0
56,"Antrim, Michigan",0.0
57,"Apache, Arizona",0.0
58,"Aransas, Texas",0.0
59,"Archer, Texas",0.0
60,"Arenac, Michigan",0.0
61,"Arkansas, Arkansas",0.0
62,"Armstrong county, Pennsylvania",0.0
63,"Armstrong, Pennsylvania",0.0
64,"Armstrong, Texas",0.0
65,"Aroostook, Maine",0.0
66,"Arthur, Nebraska",0.0
67,"Ascension, Louisiana",0.0
68,"Ashe, North Carolina",0.0
69,"Ashland, Wisconsin",0.0
70,"Ashley, Arkansas",0.0
71,"Ashtabula, Ohio",0.0
72,"Asotin, Washington",0.0
73,"Assumption, Louisiana",0.0
74,"Atascosa county, Texas",0.0
75,"Atascosa, Texas",0.0
76,"Atchison, Kansas",0.0
77,"Atchison, Missouri",0.0
78,"Atlantic, New Jersey",0.0
79,"Atoka, Oklahoma",0.0
80,"Audrain, Missouri",0.0
81,"Augusta, Virginia",0.0
82,"Aurora, South Dakota",0.0
83,"Austin, Texas",0.0
84,"Autauga, Alabama",0.0
85,"Avery, North Carolina",0.0
86,"Avoyelles, Louisiana",0.0
87,"Bailey, Texas",0.0
88,"Baker county, Florida",0.0
89,"Baker, Florida",0.0
90,"Baker, Oregon",0.0
91,"Baldwin, Alabama",0.0
92,"Ballard, Kentucky",0.0
93,"Baltimore city, Maryland",0.0
94,"Baltimore, Maryland",0.0
95,"Bamberg, South Carolina",0.0
96,"Bandera, Texas",0.0
97,"Banner, Nebraska",0.0
98,"Bannock, Idaho",0.0
99,"Baraga, Michigan",0.0
100,"Barbour, Alabama",0.0
101,"Barbour, West Virginia",0.0
102,"Barnes, North Dakota",0.0
103,"Barnstable, Massachusetts",0.0
104,"Barnwell, South Carolina",0.0
105,"Barren, Kentucky",0.0
106,"Barron, Wisconsin",0.0
107,"Barry, Michigan",0.0
108,"Barry, Missouri",0.0
109,"Bartholomew, Indiana",0.0
110,"Barton, Missouri",0.0
111,"Bastrop, Texas",0.0
112,"Bates, Missouri",0.0
113,"Bath, Virginia",0.0
114,"Baxter, Arkansas",0.0
115,"Bay, Florida",0.0
116,"Bay, Michigan",0.0
117,"Bayfield, Wisconsin",0.0
118,"Baylor, Texas",0.0
119,"Beadle, South Dakota",0.0
120,"Bear lake, Idaho",0.0
121,"Beaufort, North Carolina",0.0
122,"Beaufort, South Carolina",0.0
123,"Beauregard, Louisiana",0.0
124,"Beaver county, Pennsylvania",0.0
125,"Beaver, Pennsylvania",0.0
126,"Beaver, Utah",0.0
127,"Beaverhead, Montana",0.0
128,"Becker, Minnesota",0.0
129,"Bedford, Pennsylvania",0.0
130,"Bedford, Virginia",0.0
131,"Bee, Texas",0.0
132,"Belknap, New Hampshire",0.0
133,"Bell, Kentucky",0.0
134,"Bell, Texas",0.0
135,"Beltrami county, Minnesota",0.0
136,"Beltrami, Minnesota",0.0
137,"Benewah, Idaho",0.0
138,"Bennett, South Dakota",0.0
139,"Bennington, Vermont",0.0
140,"Benson, North Dakota",0.0
141,"Benton county, Arkansas",0.0
142,"Benton, Arkansas",0.0
143,"Benton, Indiana",0.0
144,"Benton, Minnesota",0.0
145,"Benton, Missouri",0.0
146,"Benton, Oregon",0.0
147,"Benton, Washington",0.0
148,"Benzie, Michigan",0.0
149,"Bergen, New Jersey",0.0
150,"Berkeley, South Carolina",0.0
151,"Berkeley, West Virginia",0.0
152,"Berks county, Pennsylvania",0.0
153,"Berks, Pennsylvania",0.0
154,"Berkshire, Massachusetts",0.0
155,"Bernalillo, New Mexico",0.0
156,"Berrien, Michigan",0.0
157,"Bertie, North Carolina",0.0
158,"Bexar, Texas",0.0
159,"Bibb, Alabama",0.0
160,"Bienville, Louisiana",0.0
161,"Big horn, Montana",0.0
162,"Big horn, Wyoming",0.0
163,"Big stone, Minnesota",0.0
164,"Bingham, Idaho",0.0
165,"Blackford, Indiana",0.0
166,"Bladen, North Carolina",0.0
167,"Blaine, Idaho",0.0
168,"Blaine, Montana",0.0
169,"Blaine, Nebraska",0.0
170,"Blair, Pennsylvania",0.0
171,"Blanco, Texas",0.0
172,"Bland, Virginia",0.0
173,"Blount, Alabama",0.0
174,"Blue earth, Minnesota",0.0
175,"Boise, Idaho",0.0
176,"Bollinger, Missouri",0.0
177,"Bon homme, South Dakota",0.0
178,"Bond, Illinois",0.0
179,"Bonner, Idaho",0.0
180,"Bonneville, Idaho",0.0
181,"Boone, Arkansas",0.0
182,"Boone, Illinois",0.0
183,"Boone, Indiana",0.0
184,"Boone, Kentucky",0.0
185,"Boone, Missouri",0.0
186,"Boone, Nebraska",0.0
187,"Boone, West Virginia",0.0
188,"Bosque, Texas",0.0
189,"Bossier, Louisiana",0.0
190,"Botetourt, Virginia",0.0
191,"Bottineau, North Dakota",0.0
192,"Boundary, Idaho",0.0
193,"Bourbon, Kansas",0.0
194,"Bourbon, Kentucky",0.0
195,"Bowie, Texas",0.0
196,"Bowman, North Dakota",0.0
197,"Box butte, Nebraska",0.0
198,"Box elder, Utah",0.0
199,"Boyd, Kentucky",0.0
200,"Boyd, Nebraska",0.0
201,"Boyle, Kentucky",0.0
202,"Bracken, Kentucky",0.0
203,"Bradford, Florida",0.0
204,"Bradford, Pennsylvania",0.0
205,"Bradley, Arkansas",0.0
206,"Branch, Michigan",0.0
207,"Braxton, West Virginia",0.0
208,"Brazoria, Texas",0.0
209,"Brazos, Texas",0.0
210,"Breathitt, Kentucky",0.0
211,"Breckinridge, Kentucky",0.0
212,"Brevard, Florida",0.0
213,"Brewster, Texas",0.0
214,"Briscoe, Texas",0.0
215,"Bristol, Massachusetts",0.0
216,"Bristol, Rhode Island",0.0
217,"Bristol, Virginia",0.0
218,"Broadwater, Montana",0.0
219,"Brooke, West Virginia",0.0
220,"Brookings, South Dakota",0.0
221,"Brooks, Texas",0.0
222,"Broome, New York",0.0
223,"Broward county, Florida",0.0
224,"Broward, Florida",4.981684981684982e-05
225,"Brown, Illinois",0.0
226,"Brown, Indiana",0.0
227,"Brown, Kansas",0.0
228,"Brown, Minnesota",0.0
229,"Brown, Nebraska",0.0
230,"Brown, South Dakota",0.0
231,"Brown, Texas",0.0
232,"Brown, Wisconsin",0.0
233,"Brule, South Dakota",0.0
234,"Brunswick, North Carolina",0.0
235,"Brunswick, Virginia",0.0
236,"Buchanan, Virginia",0.0
237,"Buckingham, Virginia",0.0
238,"Bucks county, Pennsylvania",0.0
239,"Bucks, Pennsylvania",0.0
240,"Buena vista, Virginia",0.0
241,"Buffalo, Nebraska",0.0007647058823529412
242,"Buffalo, Wisconsin",0.0
243,"Bullock, Alabama",0.0
244,"Buncombe, North Carolina",0.0
245,"Bureau, Illinois",0.0
246,"Burke, North Carolina",0.0
247,"Burke, North Dakota",0.0
248,"Burleigh, North Dakota",0.0
249,"Burleson, Texas",0.0
250,"Burlington, New Jersey",0.0
251,"Burnet, Texas",0.0
252,"Burnett, Wisconsin",0.0
253,"Burt, Nebraska",0.0
254,"Butler, Alabama",0.0
255,"Butler, Kansas",0.0
256,"Butler, Kentucky",0.0
257,"Butler, Missouri",0.0
258,"Butler, Nebraska",0.0
259,"Butler, Ohio",0.0
260,"Butler, Pennsylvania",0.0
261,"Butte, California",0.0
262,"Butte, Idaho",0.0
263,"Butte, South Dakota",0.0
264,"Cabarrus, North Carolina",0.0
265,"Cabell, West Virginia",0.0
266,"Cache, Utah",0.0
267,"Caddo parish, Louisiana",0.0
268,"Caddo, Louisiana",0.0
269,"Caddo, Oklahoma",0.0
270,"Calaveras, California",0.0
271,"Calcasieu, Louisiana",0.0
272,"Caldwell, Kentucky",0.0
273,"Caldwell, Louisiana",0.0
274,"Caldwell, Missouri",0.0
275,"Caldwell, North Carolina",0.0
276,"Caldwell, Texas",0.0
277,"Caledonia, Vermont",0.0
278,"Calhoun, Alabama",0.0
279,"Calhoun, Arkansas",0.0
280,"Calhoun, Florida",0.0
281,"Calhoun, Illinois",0.0
282,"Calhoun, Michigan",0.0
283,"Calhoun, South Carolina",0.0
284,"Calhoun, Texas",0.0
285,"Calhoun, West Virginia",0.0
286,"Callahan, Texas",0.0
287,"Callaway, Missouri",0.0
288,"Calloway, Kentucky",0.0
289,"Calumet, Wisconsin",0.0
290,"Calvert, Maryland",0.0
291,"Cambria county, Pennsylvania",0.0
292,"Cambria, Pennsylvania",0.0
293,"Camden, Missouri",0.0
294,"Camden, New Jersey",0.0
295,"Camden, North Carolina",0.0
296,"Cameron, Louisiana",0.0
297,"Cameron, Pennsylvania",0.0
298,"Cameron, Texas",0.0
299,"Camp, Texas",0.0
300,"Campbell, Kentucky",0.0
301,"Campbell, Virginia",0.0
302,"Campbell, Wyoming",0.0
303,"Canyon, Idaho",0.0
304,"Cape girardeau, Missouri",0.0
305,"Cape may, New Jersey",0.0
306,"Carbon, Montana",0.0
307,"Carbon, Pennsylvania",0.0
308,"Carbon, Utah",0.0
309,"Carbon, Wyoming",0.0
310,"Caribou, Idaho",0.0
311,"Carlisle, Kentucky",0.0
312,"Carlton, Minnesota",0.0
313,"Caroline, Maryland",0.0
314,"Caroline, Virginia",0.0
315,"Carroll, Arkansas",0.0
316,"Carroll, Illinois",0.0
317,"Carroll, Indiana",0.0
318,"Carroll, Kentucky",0.0
319,"Carroll, Maryland",0.0
320,"Carroll, Missouri",0.0
321,"Carroll, New Hampshire",0.0
322,"Carroll, Virginia",0.0
323,"Carson city, Nevada",0.0
324,"Carson, Texas",0.0
325,"Carter, Kentucky",0.0
326,"Carter, Missouri",0.0
327,"Carter, Montana",0.0
328,"Carteret, North Carolina",8.5e-05
329,"Carver, Minnesota",0.0
330,"Cascade, Montana",0.0
331,"Casey, Kentucky",0.0
332,"Cass, Illinois",0.0
333,"Cass, Indiana",0.0
334,"Cass, Michigan",0.0
335,"Cass, Minnesota",0.0
336,"Cass, Missouri",0.0
337,"Cass, Nebraska",0.0
338,"Cass, North Dakota",0.0
339,"Cass, Texas",0.0
340,"Cassia, Idaho",0.0
341,"Castro, Texas",0.0
342,"Caswell, North Carolina",0.0
343,"Catahoula, Louisiana",0.0
344,"Catawba, North Carolina",0.0
345,"Catron, New Mexico",0.0
346,"Cattaraugus, New York",0.0
347,"Cavalier, North Dakota",0.0
348,"Cayuga county, New York",0.0
349,"Cayuga, New York",0.0
350,"Cecil, Maryland",0.0
351,"Cedar, Missouri",0.0
352,"Cedar, Nebraska",0.0
353,"Centre county, Pennsylvania",0.0
354,"Centre, Pennsylvania",0.0
355,"Chambers, Alabama",0.0
356,"Chambers, Texas",0.0
357,"Champaign, Illinois",0.0
358,"Chariton, Missouri",0.0
359,"Charles mix, South Dakota",0.0
360,"Charles, Maryland",0.0
361,"Charleston county, South Carolina",0.0
362,"Charleston, South Carolina",0.0
363,"Charlevoix, Michigan",0.0
364,"Charlotte, Florida",0.0
365,"Charlotte, Virginia",0.0
366,"Chase, Nebraska",0.0
367,"Chatham, North Carolina",0.0
368,"Chautauqua, Kansas",0.0
369,"Chautauqua, New York",0.0
370,"Chaves, New Mexico",0.0
371,"Cheboygan, Michigan",0.0
372,"Chelan, Washington",0.0
373,"Chemung, New York",0.0
374,"Chenango, New York",0.0
375,"Cherokee, Alabama",0.0
376,"Cherokee, Kansas",0.0
377,"Cherokee, North Carolina",0.0
378,"Cherokee, South Carolina",0.0
379,"Cherokee, Texas",0.0
380,"Cherry, Nebraska",0.0
381,"Chesapeake city, Virginia",0.0
382,"Cheshire, New Hampshire",0.0
383,"Chester county, Pennsylvania",0.0
384,"Chester, Pennsylvania",0.0
385,"Chester, South Carolina",0.0
386,"Chesterfield, South Carolina",0.0
387,"Chesterfield, Virginia",0.0
388,"Cheyenne, Nebraska",0.0
389,"Chicot, Arkansas",0.0
390,"Chilton, Alabama",0.0
391,"Chippewa, Michigan",0.0
392,"Chippewa, Minnesota",0.0
393,"Chippewa, Wisconsin",0.0
394,"Chisago, Minnesota",0.0
395,"Chittenden, Vermont",0.0
396,"Choctaw, Alabama",0.0
397,"Chouteau, Montana",0.0
398,"Chowan, North Carolina",0.0
399,"Christian, Illinois",0.0
400,"Christian, Kentucky",0.0
401,"Christian, Missouri",0.0
402,"Churchill, Nevada",0.0
403,"Cibola, New Mexico",0.0
404,"Citrus county, Florida",0.0
405,"Citrus, Florida",0.0
406,"Clackamas, Oregon",0.0
407,"Claiborne, Louisiana",0.0
408,"Clallam, Washington",0.0
409,"Clare, Michigan",0.0
410,"Clarendon, South Carolina",0.0
411,"Clarion, Pennsylvania",0.0
412,"Clark county, Nevada",0.0
413,"Clark, Arkansas",0.0
414,"Clark, Illinois",0.0
415,"Clark, Indiana",0.0
416,"Clark, Kentucky",0.0
417,"Clark, Missouri",0.0
418,"Clark, Nevada",0.0
419,"Clark, South Dakota",0.0
420,"Clark, Washington",0.0
421,"Clark, Wisconsin",0.0
422,"Clarke, Alabama",0.0
423,"Clarke, Virginia",0.0
424,"Clatsop, Oregon",0.0
425,"Clay, Alabama",0.0
426,"Clay, Arkansas",0.0
427,"Clay, Florida",0.0
428,"Clay, Illinois",0.0
429,"Clay, Indiana",0.0
430,"Clay, Kentucky",0.0
431,"Clay, Minnesota",0.0
432,"Clay, Missouri",0.0
433,"Clay, Nebraska",0.0
434,"Clay, North Carolina",0.0
435,"Clay, South Dakota",0.0
436,"Clay, Texas",0.0
437,"Clay, West Virginia",0.0
438,"Clearfield county, Pennsylvania",0.0
439,"Clearfield, Pennsylvania",0.0
440,"Clearwater, Idaho",0.0
441,"Clearwater, Minnesota",0.0
442,"Cleburne, Alabama",0.0
443,"Cleburne, Arkansas",0.0
444,"Cleveland, Arkansas",0.0
445,"Cleveland, North Carolina",0.0
446,"Cleveland, Oklahoma",0.0
447,"Clinton, Illinois",0.0
448,"Clinton, Indiana",0.0
449,"Clinton, Iowa",0.0
450,"Clinton, Kentucky",0.0
451,"Clinton, Michigan",0.0
452,"Clinton, Missouri",0.0
453,"Clinton, New York",0.0
454,"Clinton, Pennsylvania",0.0
455,"Cochise, Arizona",0.0
456,"Cochran, Texas",0.0
457,"Coconino, Arizona",8.474576271186441e-05
458,"Codington, South Dakota",0.0
459,"Coffee, Alabama",0.0
460,"Coffey, Kansas",0.0
461,"Coke, Texas",0.0
462,"Colbert, Alabama",0.0
463,"Cole, Missouri",0.0
464,"Coleman, Texas",0.0
465,"Coles, Illinois",0.004482758620689655
466,"Colfax, Nebraska",0.0
467,"Colfax, New Mexico",0.0
468,"Colleton, South Carolina",0.0
469,"Collier, Florida",0.0
470,"Collin, Texas",0.000851063829787234
471,"Collingsworth, Texas",0.0
472,"Colorado, Texas",0.0
473,"Columbia, Arkansas",0.0
474,"Columbia, Florida",0.0
475,"Columbia, New York",0.0
476,"Columbia, Oregon",0.0
477,"Columbia, Pennsylvania",0.0
478,"Columbia, Washington",0.0
479,"Columbia, Wisconsin",0.0
480,"Columbus county, North Carolina",0.0
481,"Columbus, North Carolina",0.0
482,"Colusa, California",0.0
483,"Comal, Texas",0.0
484,"Comanche, Texas",0.0
485,"Concho, Texas",0.0
486,"Concordia, Louisiana",0.0
487,"Conecuh, Alabama",0.0
488,"Contra costa, California",0.0
489,"Converse, Wyoming",0.0
490,"Conway, Arkansas",0.0
491,"Cook, Illinois",0.0
492,"Cook, Minnesota",0.0
493,"Cooke, Texas",0.0
494,"Cooper, Missouri",0.0
495,"Coos, New Hampshire",0.0
496,"Coos, Oregon",0.0
497,"Coosa, Alabama",0.0
498,"Corson, South Dakota",0.0
499,"Cortland, New York",0.0
500,"Coryell, Texas",0.0
501,"Cottle, Texas",0.0
502,"Cottonwood, Minnesota",0.0
503,"Covington, Alabama",0.0
504,"Covington, Virginia",0.0
505,"Cowley, Kansas",0.0
506,"Cowlitz, Washington",0.0
507,"Craig, Oklahoma",0.0
508,"Craighead, Arkansas",0.0
509,"Crane, Texas",0.0
510,"Craven, North Carolina",0.0
511,"Crawford county, Pennsylvania",0.0
512,"Crawford, Arkansas",0.0
513,"Crawford, Illinois",0.0
514,"Crawford, Indiana",0.0
515,"Crawford, Kansas",0.0
516,"Crawford, Michigan",0.0
517,"Crawford, Missouri",0.0
518,"Crawford, Pennsylvania",0.0
519,"Crawford, Wisconsin",0.0
520,"Creek, Oklahoma",0.0
521,"Crenshaw, Alabama",0.0
522,"Crittenden, Arkansas",0.0
523,"Crittenden, Kentucky",0.0
524,"Crockett, Texas",0.0
525,"Crook, Oregon",0.0
526,"Crook, Wyoming",0.0
527,"Crosby, Texas",0.0
528,"Cross, Arkansas",0.0
529,"Crow wing, Minnesota",0.0
530,"Culberson, Texas",0.0
531,"Cullman, Alabama",0.0
532,"Culpeper, Virginia",0.0
533,"Cumberland county, Pennsylvania",0.0
534,"Cumberland, Illinois",0.0
535,"Cumberland, Kentucky",0.0
536,"Cumberland, Maine",0.0
537,"Cumberland, New Jersey",0.0
538,"Cumberland, North Carolina",0.0
539,"Cumberland, Pennsylvania",0.0
540,"Cumberland, Virginia",0.0
541,"Cuming, Nebraska",0.0
542,"Currituck, North Carolina",0.0
543,"Curry, New Mexico",0.0
544,"Curry, Oregon",0.0
545,"Custer, Idaho",0.0
546,"Custer, Montana",0.0
547,"Custer, Nebraska",0.0
548,"Custer, South Dakota",0.0
549,"Dade, Florida",0.0
550,"Dade, Missouri",0.0
551,"Daggett, Utah",0.0
552,"Dakota, Minnesota",0.0
553,"Dakota, Nebraska",0.0
554,"Dale, Alabama",0.0
555,"Dallam, Texas",0.0
556,"Dallas, Alabama",0.0
557,"Dallas, Arkansas",0.0
558,"Dallas, Missouri",0.0
559,"Dallas, Texas",0.0
560,"Dane, Wisconsin",0.0
561,"Daniels, Montana",0.0
562,"Danville, Virginia",0.0
563,"Dare, North Carolina",0.0
564,"Darlington, South Carolina",0.0
565,"Dauphin county, Pennsylvania",0.0
566,"Dauphin, Pennsylvania",0.0
567,"Davidson, North Carolina",0.0
568,"Davie, North Carolina",0.0
569,"Daviess, Indiana",0.0
570,"Daviess, Kentucky",0.0
571,"Daviess, Missouri",0.0
572,"Davis, Utah",0.0
573,"Dawes, Nebraska",0.0
574,"Dawson, Montana",0.0
575,"Dawson, Nebraska",0.0010301724137931035
576,"Dawson, Texas",0.0
577,"Day, South Dakota",0.0
578,"De baca, New Mexico",0.0
579,"De kalb, Indiana",0.0
580,"De kalb, Missouri",0.0
581,"De soto, Florida",0.0
582,"De soto, Louisiana",0.0
583,"De witt, Illinois",0.0029787234042553193
584,"Deaf smith, Texas",0.0
585,"Dearborn, Indiana",0.0
586,"Decatur, Indiana",0.0
587,"Deer lodge, Montana",0.0
588,"Defiance, Ohio",0.0
589,"Dekalb, Alabama",0.0
590,"Dekalb, Illinois",0.0
591,"Dekalb, Indiana",0.0
592,"Dekalb, Missouri",0.0
593,"Delaware, Indiana",0.0
594,"Delaware, New York",0.0
595,"Delaware, Pennsylvania",0.0
596,"Delta, Michigan",0.0
597,"Delta, Texas",0.0
598,"Dent, Missouri",0.0
599,"Denton, Texas",0.0
600,"Deschutes, Oregon",0.0
601,"Desha, Arkansas",0.0
602,"Desoto, Florida",0.0
603,"Deuel, Nebraska",0.0
604,"Dewey, South Dakota",0.0
605,"Dewitt, Texas",0.0
606,"Dickens, Texas",0.0
607,"Dickey, North Dakota",0.0
608,"Dickinson, Iowa",0.0
609,"Dickinson, Kansas",0.0
610,"Dickinson, Michigan",0.0
611,"Dillon, South Carolina",0.0
612,"Dimmit, Texas",0.0
613,"Dinwiddie, Virginia",0.0
614,"District of columbia, District of Columbia",0.0
615,"Dixie, Florida",0.0
616,"Dixon, Nebraska",0.0
617,"Doddridge, West Virginia",0.0
618,"Dodge, Minnesota",0.0
619,"Dodge, Nebraska",0.0
620,"Dodge, Wisconsin",0.0
621,"Dona ana, New Mexico",0.007816091954022988
622,"Donley, Texas",0.0
623,"Door, Wisconsin",0.0
624,"Dorchester, Maryland",0.0
625,"Dorchester, South Carolina",0.0
626,"Douglas, Illinois",0.0
627,"Douglas, Kansas",0.0
628,"Douglas, Minnesota",0.0
629,"Douglas, Missouri",0.0
630,"Douglas, Nebraska",0.0
631,"Douglas, Nevada",0.0
632,"Douglas, Oregon",0.0
633,"Douglas, Washington",0.0
634,"Douglas, Wisconsin",0.0
635,"Drew, Arkansas",0.0
636,"Du page, Illinois",0.0
637,"Dubois, Indiana",0.0
