,county,ethylbenzene
0,"-, Arizona",0.0
1,"Abbeville, South Carolina",0.0
2,"Acadia, Louisiana",0.0
3,"Accomack, Virginia",0.024025974025974027
4,"Ada, Idaho",0.000970873786407767
5,"Adair, Iowa",0.0
6,"Adair, Kentucky",0.0
7,"Adair, Missouri",0.0
8,"Adair, Oklahoma",0.0
9,"Adams, Idaho",0.0
10,"Adams, Illinois",0.19626615384615384
11,"Adams, Indiana",0.0
12,"Adams, Iowa",0.0
13,"Adams, Nebraska",0.0
14,"Adams, Ohio",0.0
15,"Adams, Pennsylvania",0.023337349397590357
16,"Adams, Washington",0.003669724770642202
17,"Adams, Wisconsin",0.01719298245614035
18,"Addison, Vermont",0.0
19,"Aiken, South Carolina",0.04109452736318408
20,"Aitkin, Minnesota",0.0
21,"Alachua, Florida",0.06723684210526316
22,"Alamance, North Carolina",0.13971962616822434
23,"Alameda, California",0.0020481927710843373
24,"Albany, New York",0.0
25,"Albany, Wyoming",0.0
26,"Albemarle, Virginia",0.12897727272727275
27,"Alcona, Michigan",0.0
28,"Aleutians east borough, Alaska",0.0
29,"Aleutians east, Alaska",0.0
30,"Aleutians west census area, Alaska",0.0
31,"Aleutians west, Alaska",0.0
32,"Alexander, Illinois",0.0
33,"Alexander, North Carolina",0.05357142857142857
34,"Alfalfa, Oklahoma",0.0
35,"Alger, Michigan",0.0
36,"Allamakee county, Iowa",0.0
37,"Allamakee, Iowa",0.0
38,"Allegan, Michigan",0.0
39,"Allegany, Maryland",0.014772727272727272
40,"Allegany, New York",0.007246376811594203
41,"Alleghany, North Carolina",0.43809523809523815
42,"Alleghany, Virginia",0.13214285714285715
43,"Allegheny county, Pennsylvania",0.0
44,"Allegheny, Pennsylvania",0.0
45,"Allen, Indiana",0.0
46,"Allen, Kansas",1.068125
47,"Allen, Kentucky",0.0
48,"Allen, Louisiana",0.0
49,"Allen, Ohio",0.0
50,"Allendale, South Carolina",0.0
51,"Alpena, Michigan",0.0
52,"Alpine, California",0.0
53,"Amador, California",0.015263157894736845
54,"Amelia, Virginia",0.0
55,"American samoa, American Samoa",0.0
56,"Amherst, Virginia",0.0
57,"Anchorage municipality, Alaska",0.0
58,"Anchorage, Alaska",0.0
59,"Anderson, Kansas",0.0
60,"Anderson, Kentucky",0.0
61,"Anderson, South Carolina",0.0
62,"Anderson, Tennessee",0.0
63,"Anderson, Texas",0.16499999999999998
64,"Andrew, Missouri",0.0
65,"Andrews, Texas",0.0
66,"Androscoggin, Maine",0.0
67,"Angelina, Texas",0.007297297297297297
68,"Anne arundel, Maryland",0.028229665071770337
69,"Anoka, Minnesota",0.01996240601503759
70,"Anson, North Carolina",0.0
71,"Antelope, Nebraska",0.0
72,"Antrim, Michigan",0.0
73,"Apache, Arizona",0.006578947368421052
74,"Appanoose, Iowa",0.525
75,"Appomattox, Virginia",0.0
76,"Aransas, Texas",0.0
77,"Archer, Texas",0.0
78,"Arenac, Michigan",0.0
79,"Arkansas, Arkansas",0.0
80,"Armstrong county, Pennsylvania",0.0
81,"Armstrong, Pennsylvania",0.006666666666666666
82,"Armstrong, Texas",0.0
83,"Aroostook, Maine",0.003432835820895522
84,"Arthur, Nebraska",0.0
85,"Ascension, Louisiana",0.0
86,"Ashe, North Carolina",0.08867924528301885
87,"Ashland, Ohio",0.008253968253968255
88,"Ashland, Wisconsin",0.0
89,"Ashley, Arkansas",0.0108
90,"Ashtabula, Ohio",0.0
91,"Asotin, Washington",0.0
92,"Assumption, Louisiana",0.0
93,"Atascosa county, Texas",0.0
94,"Atascosa, Texas",0.035
95,"Atchison, Kansas",0.0
96,"Atchison, Missouri",0.0
97,"Athens, Ohio",0.0
98,"Atlantic, New Jersey",0.003691428571428572
99,"Atoka, Oklahoma",0.018421052631578946
100,"Audrain, Missouri",0.0
101,"Audubon, Iowa",0.0
102,"Auglaize, Ohio",0.0
103,"Augusta, Virginia",0.0
104,"Aurora, South Dakota",0.0
105,"Austin, Texas",0.0
106,"Autauga, Alabama",0.0
107,"Avery, North Carolina",0.14011834319526628
108,"Avoyelles, Louisiana",0.0
109,"B, Oklahoma",0.0
110,"Bailey, Texas",0.0
111,"Baker county, Florida",0.0
112,"Baker, Florida",0.08878048780487804
113,"Baker, Oregon",0.0
114,"Baldwin, Alabama",0.025166666666666667
115,"Ballard, Kentucky",0.0776086956521739
116,"Baltimore city, Maryland",0.0
117,"Baltimore, Maryland",0.0035842293906810036
118,"Bamberg, South Carolina",0.0
119,"Bandera, Texas",0.13999999999999999
120,"Banner, Nebraska",0.0
121,"Bannock, Idaho",0.0
122,"Baraga, Michigan",0.0
123,"Barber, Kansas",0.09526315789473684
124,"Barbour, Alabama",0.02826666666666667
125,"Barbour, West Virginia",0.0
126,"Barnes, North Dakota",0.0
127,"Barnstable, Massachusetts",0.0007684918347742555
128,"Barnwell, South Carolina",0.04103448275862069
129,"Barren, Kentucky",0.0
130,"Barron, Wisconsin",0.0
131,"Barry, Michigan",0.0
132,"Barry, Missouri",0.01953846153846154
133,"Bartholomew, Indiana",0.0
134,"Barton, Kansas",0.03582089552238806
135,"Barton, Missouri",0.0
136,"Bastrop, Texas",0.0
137,"Bates, Missouri",0.04083333333333333
138,"Bath, Virginia",0.0
139,"Baxter, Arkansas",0.0
140,"Bay, Florida",0.0
141,"Bay, Michigan",0.0
142,"Bayfield, Wisconsin",0.0
143,"Baylor, Texas",0.0
144,"Beadle, South Dakota",0.0
145,"Bear lake, Idaho",0.0
146,"Beaufort, North Carolina",0.030851063829787233
147,"Beaufort, South Carolina",0.005760869565217391
148,"Beauregard, Louisiana",0.024666666666666667
149,"Beaver county, Pennsylvania",0.0
150,"Beaver, Oklahoma",0.0
151,"Beaver, Pennsylvania",0.008592592592592593
152,"Beaver, Utah",0.0
153,"Beaverhead, Montana",0.0
154,"Becker, Minnesota",0.07073170731707316
155,"Beckham, Oklahoma",0.0
156,"Bedford county, Pennsylvania",0.0
157,"Bedford, Pennsylvania",0.04265432098765432
158,"Bedford, Tennessee",0.0
159,"Bedford, Virginia",0.04594594594594594
160,"Bee, Texas",0.0
161,"Belknap, New Hampshire",0.0
162,"Bell, Kentucky",0.0
163,"Bell, Texas",0.008695652173913044
164,"Belmont, Ohio",0.0
165,"Beltrami county, Minnesota",0.0
166,"Beltrami, Minnesota",0.0
167,"Benewah, Idaho",0.0
168,"Bennett, South Dakota",0.0
169,"Bennington, Vermont",0.0
170,"Benson, North Dakota",0.0
171,"Benton county, Arkansas",0.0
172,"Benton, Arkansas",0.0
173,"Benton, Indiana",0.0
174,"Benton, Iowa",0.0
175,"Benton, Minnesota",0.0
176,"Benton, Missouri",0.028131868131868132
177,"Benton, Oregon",0.0
178,"Benton, Tennessee",0.0
179,"Benton, Washington",0.012429906542056073
180,"Benzie, Michigan",0.0
181,"Bergen, New Jersey",0.00035656213704994197
182,"Berkeley, South Carolina",0.0
183,"Berkeley, West Virginia",0.0654320987654321
184,"Berks county, Pennsylvania",0.0
185,"Berks, Pennsylvania",0.016182170542635658
186,"Berkshire, Massachusetts",0.001687344913151365
187,"Bernalillo, New Mexico",0.041540983606557384
188,"Berrien, Michigan",0.0
189,"Bertie, North Carolina",0.00909090909090909
190,"Bethel census area, Alaska",0.0
191,"Bethel, Alaska",0.0427710843373494
192,"Bexar, Texas",0.03252336448598131
193,"Bibb, Alabama",0.0
194,"Bienville, Louisiana",0.0
195,"Big horn, Montana",0.21677966101694918
196,"Big horn, Wyoming",0.0
197,"Big stone, Minnesota",0.0
198,"Billings, North Dakota",0.0
199,"Bingham, Idaho",0.0
200,"Black hawk, Iowa",0.3
201,"Blackford, Indiana",0.0
202,"Bladen, North Carolina",0.12954545454545455
203,"Blaine, Idaho",0.0
204,"Blaine, Montana",0.0
205,"Blaine, Nebraska",0.0
206,"Blaine, Oklahoma",0.0
207,"Blair county, Pennsylvania",0.0
208,"Blair, Pennsylvania",0.0
209,"Blanco, Texas",0.0
210,"Bland, Virginia",0.0
211,"Bledsoe, Tennessee",0.0
212,"Blount, Alabama",0.0
213,"Blount, Tennessee",0.0
214,"Blue earth, Minnesota",0.0
215,"Boise, Idaho",0.0
216,"Bollinger, Missouri",0.0
217,"Bon homme, South Dakota",0.0
218,"Bond, Illinois",0.0
219,"Bonner, Idaho",0.0
220,"Bonneville, Idaho",0.0
221,"Boone, Arkansas",0.0
222,"Boone, Illinois",0.04083333333333333
223,"Boone, Indiana",0.0
224,"Boone, Iowa",0.0
225,"Boone, Kentucky",0.0
226,"Boone, Missouri",0.03736842105263158
227,"Boone, Nebraska",0.0
228,"Boone, West Virginia",0.0
229,"Bosque, Texas",0.1328125
230,"Bossier, Louisiana",0.0
231,"Botetourt, Virginia",0.0
232,"Bottineau, North Dakota",0.0
233,"Boundary, Idaho",0.0
234,"Bourbon, Kansas",0.0
235,"Bourbon, Kentucky",0.0
236,"Bowie, Texas",0.0
237,"Bowman, North Dakota",0.0
238,"Box butte, Nebraska",0.0
239,"Box elder, Utah",0.0
240,"Boyd, Kentucky",0.0
241,"Boyd, Nebraska",0.0
242,"Boyle, Kentucky",0.0
243,"Bracken, Kentucky",0.0
244,"Bradford, Florida",0.0
245,"Bradford, Pennsylvania",0.004065934065934066
246,"Bradley, Arkansas",0.0
247,"Bradley, Tennessee",0.0
248,"Branch, Michigan",0.0
249,"Braxton, West Virginia",0.0
250,"Brazoria, Texas",0.0035947712418300656
251,"Brazos, Texas",0.0
252,"Breathitt, Kentucky",0.0
253,"Breckinridge, Kentucky",0.0
254,"Bremer, Iowa",0.0
255,"Brevard, Florida",0.013333333333333332
256,"Brewster, Texas",0.0
257,"Briscoe, Texas",0.0
258,"Bristol bay, Alaska",0.0
259,"Bristol, Massachusetts",0.016596638655462185
260,"Bristol, Rhode Island",0.0
261,"Bristol, Virginia",0.0
262,"Broadwater, Montana",0.0
263,"Brooke, West Virginia",0.0
264,"Brookings, South Dakota",0.0
265,"Brooks, Texas",0.0
266,"Broome, New York",0.0
267,"Broward county, Florida",0.0
268,"Broward, Florida",0.005942622950819673
269,"Brown, Illinois",0.0
270,"Brown, Indiana",0.0
271,"Brown, Kansas",0.38095238095238093
272,"Brown, Minnesota",0.0
273,"Brown, Nebraska",0.0
274,"Brown, Ohio",0.0
275,"Brown, South Dakota",0.0
276,"Brown, Texas",0.0
277,"Brown, Wisconsin",0.0
278,"Brule, South Dakota",0.0
279,"Brunswick, North Carolina",0.0
280,"Brunswick, Virginia",0.0
281,"Bryan, Oklahoma",0.014102564102564105
282,"Buchanan, Iowa",0.0
283,"Buchanan, Virginia",0.0
284,"Buckingham, Virginia",0.0
285,"Bucks county, Pennsylvania",0.005753424657534247
286,"Bucks, Pennsylvania",0.02540822235089751
287,"Buena vista, Iowa",0.10909090909090909
288,"Buena vista, Virginia",0.0
289,"Buffalo, Nebraska",0.0
290,"Buffalo, Wisconsin",0.0
291,"Bullock, Alabama",0.0
292,"Buncombe, North Carolina",0.03105263157894737
293,"Bureau, Illinois",0.010939999999999998
294,"Burke, North Carolina",0.0
295,"Burke, North Dakota",0.0
296,"Burleigh, North Dakota",0.0
297,"Burleson, Texas",0.0
298,"Burlington, New Jersey",0.010304017372421282
299,"Burnet, Texas",0.08129496402877698
300,"Burnett, Wisconsin",0.0
301,"Burt, Nebraska",0.0
302,"Butler county, Pennsylvania",0.0
303,"Butler, Alabama",0.009615384615384616
304,"Butler, Iowa",0.0
305,"Butler, Kansas",0.0
306,"Butler, Kentucky",0.0
307,"Butler, Missouri",0.0
308,"Butler, Nebraska",0.0
309,"Butler, Ohio",0.0
310,"Butler, Pennsylvania",0.004486692015209126
311,"Butte, California",0.0
312,"Butte, Idaho",0.0
313,"Butte, South Dakota",0.0
314,"Cabarrus, North Carolina",0.039591836734693873
315,"Cabell, West Virginia",0.0
316,"Cache, Utah",0.0
317,"Caddo parish, Louisiana",0.0
318,"Caddo, Louisiana",0.012237762237762238
319,"Caddo, Oklahoma",0.05174418604651163
320,"Calaveras, California",0.0
321,"Calcasieu, Louisiana",0.012253521126760562
322,"Caldwell, Kentucky",0.0
323,"Caldwell, Louisiana",0.0
324,"Caldwell, Missouri",0.0
325,"Caldwell, North Carolina",0.0
326,"Caldwell, Texas",0.0
327,"Caledonia, Vermont",0.0
328,"Calhoun, Alabama",0.014814814814814815
329,"Calhoun, Arkansas",0.0
330,"Calhoun, Florida",0.0
331,"Calhoun, Illinois",0.0
332,"Calhoun, Iowa",0.0875
333,"Calhoun, Michigan",0.0
334,"Calhoun, South Carolina",0.0
335,"Calhoun, Texas",0.0
336,"Calhoun, West Virginia",0.00010909090909090908
337,"Callahan, Texas",0.0
338,"Callaway, Missouri",0.011016949152542373
339,"Calloway, Kentucky",0.0
340,"Calumet, Wisconsin",0.018255813953488374
341,"Calvert, Maryland",0.03421926910299003
342,"Camas, Idaho",0.0
343,"Cambria county, Pennsylvania",0.0
344,"Cambria, Pennsylvania",0.00852112676056338
345,"Camden, Missouri",0.002142857142857143
346,"Camden, New Jersey",0.04175257731958763
347,"Camden, North Carolina",0.0
348,"Cameron, Louisiana",0.03903225806451613
349,"Cameron, Pennsylvania",0.0
350,"Cameron, Texas",0.0
351,"Camp, Texas",0.026363636363636363
352,"Campbell, Kentucky",0.0
353,"Campbell, Tennessee",0.035849056603773584
354,"Campbell, Virginia",0.03333333333333333
355,"Campbell, Wyoming",0.0
356,"Canadian, Oklahoma",0.0
357,"Cannon, Tennessee",0.0
358,"Canyon, Idaho",0.0
359,"Cape girardeau, Missouri",0.0
360,"Cape may, New Jersey",0.0008181818181818183
361,"Carbon county, Pennsylvania",0.0
362,"Carbon, Montana",0.0
363,"Carbon, Pennsylvania",0.05390804597701149
364,"Carbon, Utah",0.0
365,"Carbon, Wyoming",0.0
366,"Caribou, Idaho",0.0
367,"Carlisle, Kentucky",0.0
368,"Carlton, Minnesota",0.00923076923076923
369,"Caroline, Maryland",0.4484848484848485
370,"Caroline, Virginia",0.0029411764705882353
371,"Carroll, Arkansas",0.005568862275449102
372,"Carroll, Illinois",0.0
373,"Carroll, Indiana",0.0
374,"Carroll, Iowa",0.1142857142857143
375,"Carroll, Kentucky",0.0
376,"Carroll, Maryland",0.012374581939799331
377,"Carroll, Missouri",0.0
378,"Carroll, New Hampshire",0.19236641221374046
379,"Carroll, Ohio",0.015
380,"Carroll, Tennessee",0.0
381,"Carroll, Virginia",0.004054054054054054
382,"Carson city, Nevada",0.005797101449275362
383,"Carson, Texas",0.04
384,"Carter, Kentucky",0.0
385,"Carter, Missouri",0.0
386,"Carter, Montana",0.0
387,"Carter, Oklahoma",0.0
388,"Carter, Tennessee",0.0
389,"Carteret, North Carolina",0.0
390,"Carver, Minnesota",4.308796296296297
391,"Cascade, Montana",0.0
392,"Casey, Kentucky",0.0
393,"Cass, Illinois",0.007142716049382715
394,"Cass, Indiana",0.0
395,"Cass, Iowa",0.225
396,"Cass, Michigan",0.0
397,"Cass, Minnesota",0.0
398,"Cass, Missouri",0.0
399,"Cass, Nebraska",0.0
400,"Cass, North Dakota",0.0
401,"Cass, Texas",0.0
402,"Cassia, Idaho",0.0
403,"Castro, Texas",0.027894736842105264
404,"Caswell, North Carolina",0.0
405,"Catahoula, Louisiana",0.0
406,"Catawba, North Carolina",0.061699346405228755
407,"Catron, New Mexico",0.0
408,"Cattaraugus, New York",0.004104477611940299
409,"Cavalier, North Dakota",0.0
410,"Cayuga county, New York",0.0
411,"Cayuga, New York",0.0
412,"Cecil, Maryland",0.02576112412177986
413,"Cedar, Iowa",0.14545454545454548
414,"Cedar, Missouri",2.8124000000000002
415,"Cedar, Nebraska",0.0
416,"Centre county, Pennsylvania",0.0
417,"Centre, Pennsylvania",0.0018801089918256129
418,"Cerro gordo, Iowa",0.12105263157894736
419,"Chambers, Alabama",0.0
420,"Chambers, Texas",0.0
421,"Champaign, Illinois",0.05243316831683168
422,"Champaign, Ohio",0.0
423,"Chariton, Missouri",0.0
424,"Charles city, Virginia",0.03513513513513513
425,"Charles mix, South Dakota",0.0
426,"Charles, Maryland",0.11216216216216215
427,"Charleston county, South Carolina",0.11
428,"Charleston, South Carolina",0.43971014492753624
429,"Charlevoix, Michigan",0.0
430,"Charlotte, Florida",0.38181818181818183
431,"Charlotte, Virginia",0.0
432,"Chase, Kansas",0.0
433,"Chase, Nebraska",0.0
434,"Chatham, North Carolina",0.04827586206896552
435,"Chautauqua, Kansas",0.0
436,"Chautauqua, New York",0.010869565217391304
437,"Chaves, New Mexico",0.0
438,"Cheatham, Tennessee",0.0
439,"Cheboygan, Michigan",0.0
440,"Chelan, Washington",0.0
441,"Chemung, New York",0.18176000000000003
442,"Chenango, New York",0.010135135135135136
443,"Cherokee, Alabama",0.0
444,"Cherokee, Iowa",0.15333333333333332
445,"Cherokee, Kansas",0.16874999999999998
446,"Cherokee, North Carolina",0.0
447,"Cherokee, Oklahoma",0.0048
448,"Cherokee, South Carolina",0.0
449,"Cherokee, Texas",0.019692307692307693
450,"Cherry, Nebraska",0.0
451,"Chesapeake city, Virginia",0.0
452,"Chesapeake, Virginia",0.0
453,"Cheshire, New Hampshire",0.0
454,"Chester county, Pennsylvania",0.0
455,"Chester, Pennsylvania",0.009749303621169917
456,"Chester, South Carolina",0.0
457,"Chester, Tennessee",0.0
458,"Chesterfield, South Carolina",0.0
459,"Chesterfield, Virginia",0.0
460,"Cheyenne, Kansas",0.0
461,"Cheyenne, Nebraska",0.0
462,"Chickasaw, Iowa",0.065
463,"Chicot, Arkansas",0.0
464,"Chilton, Alabama",0.0
465,"Chippewa, Michigan",0.022033898305084742
466,"Chippewa, Minnesota",0.017948717948717947
467,"Chippewa, Wisconsin",0.0034965034965034965
468,"Chisago, Minnesota",0.01651376146788991
469,"Chittenden, Vermont",0.13578947368421052
470,"Choctaw, Alabama",0.0
471,"Choctaw, Oklahoma",0.0
472,"Chouteau, Montana",0.0
473,"Chowan, North Carolina",0.0
474,"Christian, Illinois",0.0
475,"Christian, Kentucky",0.0
476,"Christian, Missouri",0.0
477,"Churchill, Nevada",0.03255813953488372
478,"Cibola, New Mexico",0.0
479,"Cimarron, Oklahoma",0.23999999999999996
480,"Citrus county, Florida",0.0
481,"Citrus, Florida",0.10816901408450703
482,"Clackamas, Oregon",0.002425876010781671
483,"Claiborne, Louisiana",0.009433962264150943
484,"Claiborne, Tennessee",0.0
485,"Clallam, Washington",0.0
486,"Clare, Michigan",0.0
487,"Clarendon, South Carolina",0.0
488,"Clarion, Pennsylvania",0.0
489,"Clark county, Nevada",0.0
490,"Clark, Arkansas",0.11326086956521741
491,"Clark, Idaho",0.0
492,"Clark, Illinois",0.0
493,"Clark, Indiana",0.0
494,"Clark, Kansas",0.0
495,"Clark, Kentucky",0.0
496,"Clark, Missouri",0.0
497,"Clark, Nevada",0.05592592592592592
498,"Clark, Ohio",0.054285714285714284
499,"Clark, South Dakota",0.0
500,"Clark, Washington",0.0
501,"Clark, Wisconsin",0.0
502,"Clarke, Alabama",0.008157894736842105
503,"Clarke, Iowa",0.0
504,"Clarke, Virginia",0.047540983606557376
505,"Clatsop, Oregon",0.009859154929577464
506,"Clay, Alabama",0.0
507,"Clay, Arkansas",0.0
508,"Clay, Florida",0.250828025477707
509,"Clay, Illinois",0.0
510,"Clay, Indiana",0.0
511,"Clay, Iowa",0.0
512,"Clay, Kansas",0.52
513,"Clay, Kentucky",0.0
514,"Clay, Minnesota",0.0
515,"Clay, Missouri",0.0
516,"Clay, Nebraska",0.0
517,"Clay, North Carolina",0.0
518,"Clay, South Dakota",0.0
519,"Clay, Tennessee",0.0
520,"Clay, Texas",0.0
521,"Clay, West Virginia",0.0
522,"Clayton, Iowa",0.01735294117647059
523,"Clearfield county, Pennsylvania",0.0
524,"Clearfield, Pennsylvania",0.0
525,"Clearwater, Idaho",0.0
526,"Clearwater, Minnesota",0.0
527,"Cleburne, Alabama",0.0
528,"Cleburne, Arkansas",0.0
529,"Clermont, Ohio",0.010666666666666666
530,"Cleveland, Arkansas",0.11891304347826086
531,"Cleveland, North Carolina",0.0
532,"Cleveland, Oklahoma",0.004250559284116331
533,"Clinton, Illinois",0.0
534,"Clinton, Indiana",0.0
535,"Clinton, Iowa",0.5
536,"Clinton, Kentucky",0.0
537,"Clinton, Michigan",0.6231884057971014
538,"Clinton, Missouri",0.0
539,"Clinton, New York",0.0
540,"Clinton, Ohio",0.0
541,"Clinton, Pennsylvania",0.0
542,"Cloud, Kansas",1.9696969696969697
543,"Coal, Oklahoma",0.0
544,"Cochise, Arizona",0.16384816753926704
545,"Cochran, Texas",0.9333333333333333
546,"Cocke, Tennessee",0.0
547,"Coconino, Arizona",0.10004032258064516
548,"Codington, South Dakota",0.0
549,"Coffee, Alabama",0.0
550,"Coffee, Tennessee",0.0
551,"Coffey, Kansas",0.0
552,"Coke, Texas",0.0
553,"Colbert, Alabama",0.0
554,"Cole, Missouri",0.012750000000000001
555,"Coleman, Texas",0.0
556,"Coles, Illinois",0.0
557,"Colfax, Nebraska",0.0
558,"Colfax, New Mexico",0.0
559,"Colleton, South Carolina",0.0
560,"Collier, Florida",0.0
561,"Collin, Texas",0.0
562,"Collingsworth, Texas",0.0
563,"Colorado, Texas",0.0
564,"Columbia county, Pennsylvania",0.0
565,"Columbia, Arkansas",0.01881720430107527
566,"Columbia, Florida",0.0
567,"Columbia, New York",0.0
568,"Columbia, Oregon",0.0036231884057971015
569,"Columbia, Pennsylvania",0.0
570,"Columbia, Washington",0.0
571,"Columbia, Wisconsin",0.0
572,"Columbiana, Ohio",0.691717791411043
573,"Columbus county, North Carolina",0.0
574,"Columbus, North Carolina",0.011949685534591194
575,"Colusa, California",0.0
576,"Comal, Texas",0.0
577,"Comanche, Kansas",0.0
578,"Comanche, Oklahoma",0.0
579,"Comanche, Texas",0.0
580,"Concho, Texas",0.0
581,"Concordia, Louisiana",0.0
582,"Conecuh, Alabama",0.0
583,"Contra costa, California",0.0
584,"Converse, Wyoming",0.0
585,"Conway, Arkansas",0.0
586,"Cook, Illinois",0.03780821917808219
587,"Cook, Minnesota",0.0
588,"Cooke, Texas",0.1343859649122807
589,"Cooper, Missouri",0.0
590,"Coos, New Hampshire",0.0039548022598870055
591,"Coos, Oregon",0.0
592,"Coosa, Alabama",0.0
593,"Corson, South Dakota",0.0
594,"Cortland, New York",0.0
595,"Coryell, Texas",0.15789473684210525
596,"Coshocton, Ohio",0.0
597,"Cottle, Texas",0.0
598,"Cotton, Oklahoma",0.08857142857142858
599,"Cottonwood county, Minnesota",0.0
600,"Cottonwood, Minnesota",0.0
601,"Covington, Alabama",0.0
602,"Covington, Virginia",0.0
